task_id	hash	native_id	process	tag	name	status	exit	module	container	cpus	time	disk	memory	attempt	submit	start	complete	duration	realtime	queue	%cpu	%mem	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	read_bytes	write_bytes	vol_ctxt	inv_ctxt	workdir	scratch	error_action
20	21/91ce89	1518872	NFCORE_SAREK:SAREK:FASTQC	CHC892N-1	NFCORE_SAREK:SAREK:FASTQC (CHC892N-1)	CACHED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-fastqc-0.11.9--0.img	4	518400000	-	4294967296	1	1677526766020	1677526769059	1677530725160	3959140	3950000	qbic	167.4	0.2	939331584	4096262144	939331584	4122365952	93663570788	4258241	184462072	12538	93667040222	9404416	365	84	/sfs/9/ws/iizha01-QSARK/bam_vs_cram/bam/non_spark/work/21/91ce8910c7f6c5dc0b0f484a5f0536	true	-
25	46/ae9b22	1518878	NFCORE_SAREK:SAREK:FASTQC	CHC912T-4	NFCORE_SAREK:SAREK:FASTQC (CHC912T-4)	CACHED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-fastqc-0.11.9--0.img	4	518400000	-	4294967296	1	1677526766709	1677526769067	1677533865354	7098645	7089000	qbic	183.9	0.2	950521856	4096262144	955961344	4122365952	185238653841	4150565	364958319	12387	185242132291	14688256	460	114	/sfs/9/ws/iizha01-QSARK/bam_vs_cram/bam/non_spark/work/46/ae9b225cd9fdc08e753fba3ad54bb3	true	-
21	52/004b04	1518874	NFCORE_SAREK:SAREK:FASTQC	CHC892T-2	NFCORE_SAREK:SAREK:FASTQC (CHC892T-2)	CACHED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-fastqc-0.11.9--0.img	4	518400000	-	4294967296	1	1677526766263	1677526769061	1677533500333	6734070	6726000	qbic	166.5	0.2	968351744	4096262144	980795392	4122365952	162187753214	4205435	319487486	12542	162191228726	12890112	550	87	/sfs/9/ws/iizha01-QSARK/bam_vs_cram/bam/non_spark/work/52/004b0499fa807b5c5d0f0088281e68	true	-
23	f4/da975e	1518875	NFCORE_SAREK:SAREK:FASTQC	CHC912N-3	NFCORE_SAREK:SAREK:FASTQC (CHC912N-3)	CACHED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-fastqc-0.11.9--0.img	4	518400000	-	4294967296	1	1677526766404	1677526769063	1677531700217	4933813	4925000	qbic	165.2	0.2	941854720	4096262144	943464448	4128116736	108389696437	4175311	213528465	12410	108393157712	9891840	271	101	/sfs/9/ws/iizha01-QSARK/bam_vs_cram/bam/non_spark/work/f4/da975e7ea1b38921939c15eaa01fbc	true	-
13	c3/a9e083	1518871	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED	wgs_calling_regions_noseconds.hg38.bed	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED (wgs_calling_regions_noseconds.hg38.bed)	CACHED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-gawk-5.1.0.img	1	518400000	-	1073741824	1	1677526765918	1677526769057	1677526774044	8126	0	qbic	33.7	0.0	0	0	0	0	75081	9349	158	140	925	516096	0	0	/sfs/9/ws/iizha01-QSARK/bam_vs_cram/bam/non_spark/work/c3/a9e0831d8fc440919967a66d558c32	true	-
19	87/752bf0	1518870	NFCORE_SAREK:SAREK:FASTP	CHC892N-1	NFCORE_SAREK:SAREK:FASTP (CHC892N-1)	CACHED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-fastp-0.23.2--h79da9fb_0.img	12	518400000	-	4294967296	1	1677526765831	1677526769043	1677527804197	1038366	932000	qbic	992.6	0.4	2092122112	2970001408	2095239168	2970005504	93654634008	72384000595	45432	135014	93657361716	72384065536	132	55	/sfs/9/ws/iizha01-QSARK/bam_vs_cram/bam/non_spark/work/87/752bf014f13a1df32d5b6293f3f7f5	true	-
27	a8/5d6801	1518879	NFCORE_SAREK:SAREK:FASTQC	CHC2111N-5	NFCORE_SAREK:SAREK:FASTQC (CHC2111N-5)	CACHED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-fastqc-0.11.9--0.img	4	518400000	-	4294967296	1	1677526766807	1677526769068	1677531415201	4648394	4642000	qbic	168.1	0.2	836816896	4016181248	836816896	4083294208	98609295672	4126571	194414197	12319	98612778260	10313728	545	104	/sfs/9/ws/iizha01-QSARK/bam_vs_cram/bam/non_spark/work/a8/5d6801c0c69e76aaa40515d05e9a1e	true	-
24	de/0dda26	1518877	NFCORE_SAREK:SAREK:FASTP	CHC912N-3	NFCORE_SAREK:SAREK:FASTP (CHC912N-3)	CACHED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-fastp-0.23.2--h79da9fb_0.img	12	518400000	-	4294967296	1	1677526766619	1677526769066	1677528264281	1497662	1352000	qbic	971.9	0.4	2104377344	2835783680	2104418304	2835787776	108380755593	98688730189	52571	195754	108381829535	98688819200	166	65	/sfs/9/ws/iizha01-QSARK/bam_vs_cram/bam/non_spark/work/de/0dda265a2d647735a1cba49f7c808c	true	-
22	bc/68b898	1518873	NFCORE_SAREK:SAREK:FASTP	CHC892T-2	NFCORE_SAREK:SAREK:FASTP (CHC892T-2)	CACHED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-fastp-0.23.2--h79da9fb_0.img	12	518400000	-	4294967296	1	1677526766074	1677526769060	1677528569309	1803235	1653000	qbic	991.5	0.4	2216296448	2970001408	2216308736	2970005504	162178826612	128439299425	78570	237982	162179900556	128439398400	130	61	/sfs/9/ws/iizha01-QSARK/bam_vs_cram/bam/non_spark/work/bc/68b89895f4500c6cccca66afad401c	true	-
29	71/10a5b6	1518882	NFCORE_SAREK:SAREK:FASTQC	CHC2111T-6	NFCORE_SAREK:SAREK:FASTQC (CHC2111T-6)	CACHED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-fastqc-0.11.9--0.img	4	518400000	-	4294967296	1	1677526767105	1677526769072	1677534450393	7683288	7674000	qbic	168.3	0.2	844607488	4016181248	844607488	4019249152	164572015893	4153749	324464314	12439	164575473198	16097280	321	99	/sfs/9/ws/iizha01-QSARK/bam_vs_cram/bam/non_spark/work/71/10a5b66a8664df6944d9580ca240e3	true	-
