task_id	hash	native_id	process	tag	name	status	exit	module	container	cpus	time	disk	memory	attempt	submit	start	complete	duration	realtime	queue	%cpu	%mem	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	read_bytes	write_bytes	vol_ctxt	inv_ctxt	workdir	scratch	error_action
19	78/ba8a49	214286	NFCORE_SAREK:SAREK:FASTQC	CHC892N-1	NFCORE_SAREK:SAREK:FASTQC (CHC892N-1)	CACHED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-fastqc-0.11.9--0.img	4	28800000	-	4294967296	1	1668878172797	1668878176675	1668881302468	3129671	3115000	preempt	180.8	0.0	3108864	11575296	3108864	11579392	93663569245	4258236	184462067	12584	93667040222	7393280	24	10	/sfs/9/ws/iizha01-QSARK/bam_vs_cram/bam/non_spark/work/78/ba8a490f12dcc46fa5b0899efe58c7	true	-
17	c3/a9e083	214279	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED	wgs_calling_regions_noseconds.hg38.bed	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED (wgs_calling_regions_noseconds.hg38.bed)	CACHED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-gawk-5.1.0.img	1	14400000	-	1073741824	1	1668878172697	1668878176664	1668878181646	8949	0	preempt	15.0	0.0	2932736	11575296	2932736	11579392	74440	9344	157	140	13213	516096	9	0	/sfs/9/ws/iizha01-QSARK/bam_vs_cram/bam/non_spark/work/c3/a9e0831d8fc440919967a66d558c32	true	-
21	72/57c077	214282	NFCORE_SAREK:SAREK:FASTQC	CHC892T-2	NFCORE_SAREK:SAREK:FASTQC (CHC892T-2)	CACHED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-fastqc-0.11.9--0.img	4	28800000	-	4294967296	1	1668878172734	1668878176669	1668884217686	6044952	6033000	preempt	184.3	0.0	2908160	11575296	2908160	11579392	162187743823	4205430	319487475	12450	162191228726	9068544	17	13	/sfs/9/ws/iizha01-QSARK/bam_vs_cram/bam/non_spark/work/72/57c0773911176605a4bb32f7b526bf	true	-
20	47/fd1b5e	214292	NFCORE_SAREK:SAREK:FASTP	CHC892N-1	NFCORE_SAREK:SAREK:FASTP (CHC892N-1)	CACHED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-fastp-0.23.2--h79da9fb_0.img	12	28800000	-	4294967296	1	1668878172869	1668878176683	1668879216783	1043914	946000	preempt	999.7	0.4	2095915008	2970001408	2097020928	3037114368	93654633400	72384000590	45429	135014	93656859956	72384065536	906	69	/sfs/9/ws/iizha01-QSARK/bam_vs_cram/bam/non_spark/work/47/fd1b5e462afca9710579e1c2065c1e	true	-
24	1a/546049	214280	NFCORE_SAREK:SAREK:FASTQC	CHC912N-3	NFCORE_SAREK:SAREK:FASTQC (CHC912N-3)	CACHED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-fastqc-0.11.9--0.img	4	28800000	-	4294967296	1	1668878172710	1668878176666	1668882362529	4189819	4179000	preempt	183.1	0.0	2957312	11575296	2957312	11579392	108389695544	4175306	213528463	12364	108393157712	7970816	18	10	/sfs/9/ws/iizha01-QSARK/bam_vs_cram/bam/non_spark/work/1a/546049b43ec5719eca05584f440035	true	-
22	4e/297e08	214293	NFCORE_SAREK:SAREK:FASTP	CHC892T-2	NFCORE_SAREK:SAREK:FASTP (CHC892T-2)	CACHED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-fastp-0.23.2--h79da9fb_0.img	12	28800000	-	4294967296	1	1668878172899	1668878176684	1668880047194	1874295	1707000	preempt	959.3	0.4	2222059520	2970001408	2225098752	2970005504	162178826007	128439299420	78568	237982	162182246540	128439398400	104	64	/sfs/9/ws/iizha01-QSARK/bam_vs_cram/bam/non_spark/work/4e/297e084ad7a0681f896bbdf6e4ff55	true	-
72	4a/520d9e	214540	NFCORE_SAREK:SAREK:FASTQ_ALIGN_BWAMEM_MEM2_DRAGMAP:BWAMEM1_MEM	CHC892T-2	NFCORE_SAREK:SAREK:FASTQ_ALIGN_BWAMEM_MEM2_DRAGMAP:BWAMEM1_MEM (CHC892T-2)	CACHED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-mulled-v2-fe8faa35dbf6dc65a0f7f5d4ea12e31a79f73e40-219b6c272b25e7e642ae3ff0bf0c5c81a5135ab4-0.img	24	57600000	-	64424509440	1	1668880602490	1668881287491	1668883567622	2965132	2272000	preempt	2230.7	0.0	2834432	11575296	2834432	11579392	67654995961	62329342133	12110568	11760038	7818726312	18533769216	13	0	/sfs/9/ws/iizha01-QSARK/bam_vs_cram/bam/non_spark/work/4a/520d9e13f4fe52399ba0d3c7c63e9c	true	-
47	38/e212d6	214428	NFCORE_SAREK:SAREK:FASTQ_ALIGN_BWAMEM_MEM2_DRAGMAP:BWAMEM1_MEM	CHC892N-1	NFCORE_SAREK:SAREK:FASTQ_ALIGN_BWAMEM_MEM2_DRAGMAP:BWAMEM1_MEM (CHC892N-1)	CACHED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-mulled-v2-fe8faa35dbf6dc65a0f7f5d4ea12e31a79f73e40-219b6c272b25e7e642ae3ff0bf0c5c81a5135ab4-0.img	24	57600000	-	64424509440	1	1668879220243	1668879226790	1668880567420	1347177	1340000	preempt	2315.0	5.2	28109369344	31301398528	29302489088	31492222976	49638050234	44370003873	9112372	8640690	6035739369	11706744832	143971	10785	/sfs/9/ws/iizha01-QSARK/bam_vs_cram/bam/non_spark/work/38/e212d6ad07b3d595e7024f6eb0e2f1	true	-
71	2c/f6606b	214532	NFCORE_SAREK:SAREK:FASTQ_ALIGN_BWAMEM_MEM2_DRAGMAP:BWAMEM1_MEM	CHC892T-2	NFCORE_SAREK:SAREK:FASTQ_ALIGN_BWAMEM_MEM2_DRAGMAP:BWAMEM1_MEM (CHC892T-2)	CACHED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-mulled-v2-fe8faa35dbf6dc65a0f7f5d4ea12e31a79f73e40-219b6c272b25e7e642ae3ff0bf0c5c81a5135ab4-0.img	24	57600000	-	64424509440	1	1668880572822	1668881142482	1668883287610	2714788	2138000	preempt	2308.5	0.0	2965504	11575296	2965504	11579392	67660328166	62335960399	12485772	11761415	7817443083	18534940672	13	0	/sfs/9/ws/iizha01-QSARK/bam_vs_cram/bam/non_spark/work/2c/f6606baad0bea833695c4082202ac1	true	-
34	25/3c2f9e	214430	NFCORE_SAREK:SAREK:FASTQ_ALIGN_BWAMEM_MEM2_DRAGMAP:BWAMEM1_MEM	CHC892N-1	NFCORE_SAREK:SAREK:FASTQ_ALIGN_BWAMEM_MEM2_DRAGMAP:BWAMEM1_MEM (CHC892N-1)	CACHED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-mulled-v2-fe8faa35dbf6dc65a0f7f5d4ea12e31a79f73e40-219b6c272b25e7e642ae3ff0bf0c5c81a5135ab4-0.img	24	57600000	-	64424509440	1	1668879220993	1668879226792	1668880587426	1366433	1351000	preempt	2306.8	5.2	28120289280	31234289664	28774588416	31425114112	49650558489	44382867914	9054026	8643367	6043276479	11709181952	145876	18746	/sfs/9/ws/iizha01-QSARK/bam_vs_cram/bam/non_spark/work/25/3c2f9e34b5393f823557ccae82af31	true	-
