task_id	hash	native_id	process	tag	name	status	exit	module	container	cpus	time	disk	memory	attempt	submit	start	complete	duration	realtime	queue	%cpu	%mem	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	read_bytes	write_bytes	vol_ctxt	inv_ctxt	workdir	scratch	error_action
14	49/e202c0	2716888	NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_LOCI	G1000_loci_hg38.zip	NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_LOCI (G1000_loci_hg38.zip)	CACHED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-p7zip-15.09--h2d50403_4.img	1	14400000	-	12884901888	1	1662048418996	1662048420706	1662048425905	6909	0	compute	98.5	0.0	4612096	42307584	4612096	42315776	8711868	34695029	490	1088	1556990	34738176	10	11	/sfs/7/workspace/ws/iizha01-sarek_3_0_experiments-0/experiment_bam_vs_cram/CRAM_I/work/49/e202c0fde9d548dd37094cbb5e840f	true	-
8	8f/a50a2e	2716898	NFCORE_SAREK:SAREK:PREPARE_GENOME:TABIX_DBSNP	dbsnp_146.hg38.vcf	NFCORE_SAREK:SAREK:PREPARE_GENOME:TABIX_DBSNP (dbsnp_146.hg38.vcf)	CACHED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-tabix-1.11--hdfd78af_0.img	1	28800000	-	1073741824	1	1662048419767	1662048426167	1662048540682	120915	114000	compute	100.0	0.0	17801216	28016640	17801216	28020736	3411226352	2397828	104296	131	614873	2404352	13	1069	/sfs/7/workspace/ws/iizha01-sarek_3_0_experiments-0/experiment_bam_vs_cram/CRAM_I/work/8f/a50a2e51f8f6e422b9d6092d647d0b	true	-
16	2d/140b54	2716887	NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_RT	RT_G1000_hg38.zip	NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_RT (RT_G1000_hg38.zip)	CACHED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-p7zip-15.09--h2d50403_4.img	1	14400000	-	12884901888	1	1662048418958	1662048420702	1662048425863	6905	3000	compute	99.9	0.0	4763648	42278912	4763648	42287104	106504249	406268331	1027	12419	1556982	406274048	16	41	/sfs/7/workspace/ws/iizha01-sarek_3_0_experiments-0/experiment_bam_vs_cram/CRAM_I/work/2d/140b54fba23aac584644b5a7a2cb3d	true	-
1	4d/f02273	2716892	NFCORE_SAREK:SAREK:PREPARE_GENOME:MSISENSORPRO_SCAN	Homo_sapiens_assembly38	NFCORE_SAREK:SAREK:PREPARE_GENOME:MSISENSORPRO_SCAN (Homo_sapiens_assembly38)	CACHED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-msisensor-pro-1.2.0--hfc31af2_0.img	2	14400000	-	12884901888	1	1662048419425	1662048420742	1662048615682	196257	190000	compute	100.0	0.7	467501056	783138816	467501056	783142912	3250005483	83576989	396957	13592	1327712	83378176	19	194	/sfs/7/workspace/ws/iizha01-sarek_3_0_experiments-0/experiment_bam_vs_cram/CRAM_I/work/4d/f0227334b4fa33815d66a7e9c0a1f6	true	-
20	74/35f1d2	2716894	NFCORE_SAREK:SAREK:GATK4_MAPPING:BWAMEM1_MEM	HCC1395N	NFCORE_SAREK:SAREK:GATK4_MAPPING:BWAMEM1_MEM (HCC1395N)	CACHED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-mulled-v2-fe8faa35dbf6dc65a0f7f5d4ea12e31a79f73e40-8110a70be2bfe7f75a2ea7f2a89cda4cc7732095-0.img	24	172800000	-	77309411328	1	1662048419532	1662048426099	1662049900829	1481297	1466000	qbic	2078.9	2.5	27655237632	31425380352	29100826624	32729878528	103038048945	94318642939	20003382	18652317	13423930962	24536780800	297208	62	/sfs/7/workspace/ws/iizha01-sarek_3_0_experiments-0/experiment_bam_vs_cram/CRAM_I/work/74/35f1d2e83931fd3e7953b3b9215f45	true	-
24	54/15ba82	2716897	NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC	HCC1395T-1	NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC (HCC1395T-1)	CACHED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-fastqc-0.11.9--0.img	2	28800000	-	4294967296	1	1662048419740	1662048426157	1662049395786	976046	967000	compute	168.7	0.8	528318464	3552411648	531894272	3578515456	15915949169	3835480	31053201	11506	15919768944	4743168	24	6	/sfs/7/workspace/ws/iizha01-sarek_3_0_experiments-0/experiment_bam_vs_cram/CRAM_I/work/54/15ba82707372c29f771fb3702e9e37	true	-
11	f5/f72be0	2716886	NFCORE_SAREK:SAREK:PREPARE_GENOME:TABIX_KNOWN_SNPS	1000G_omni2.5.hg38.vcf	NFCORE_SAREK:SAREK:PREPARE_GENOME:TABIX_KNOWN_SNPS (1000G_omni2.5.hg38.vcf)	CACHED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-tabix-1.11--hdfd78af_0.img	1	28800000	-	1073741824	1	1662048418918	1662048420671	1662048425673	6755	2000	compute	99.4	0.0	15867904	25772032	15867904	25776128	53321350	1511181	1842	132	614887	1519616	19	10	/sfs/7/workspace/ws/iizha01-sarek_3_0_experiments-0/experiment_bam_vs_cram/CRAM_I/work/f5/f72be03be56cb39c59788428fbce10	true	-
5	8a/0543e6	2716890	NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_ALLELES	G1000_alleles_hg38.zip	NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_ALLELES (G1000_alleles_hg38.zip)	CACHED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-p7zip-15.09--h2d50403_4.img	1	14400000	-	12884901888	1	1662048419065	1662048420734	1662048425930	6865	0	compute	98.3	0.0	4653056	42278912	4653056	42287104	10309497	31412197	502	987	1557002	31457280	10	18	/sfs/7/workspace/ws/iizha01-sarek_3_0_experiments-0/experiment_bam_vs_cram/CRAM_I/work/8a/0543e6f7b42d8de4c33c593e70b059	true	-
15	7e/760ba1	2716891	NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_GC	GC_G1000_hg38.zip	NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_GC (GC_G1000_hg38.zip)	CACHED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-p7zip-15.09--h2d50403_4.img	1	14400000	-	12884901888	1	1662048419363	1662048420739	1662048425947	6584	3000	compute	98.1	0.0	4763648	42278912	4763648	42287104	104902604	362428058	1015	11081	1556982	362430464	10	4101	/sfs/7/workspace/ws/iizha01-sarek_3_0_experiments-0/experiment_bam_vs_cram/CRAM_I/work/7e/760ba1f43fb75a00a7ffeda5eb6759	true	-
23	66/19f8f7	2716889	NFCORE_SAREK:SAREK:GATK4_MAPPING:BWAMEM1_MEM	HCC1395T	NFCORE_SAREK:SAREK:GATK4_MAPPING:BWAMEM1_MEM (HCC1395T)	CACHED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-mulled-v2-fe8faa35dbf6dc65a0f7f5d4ea12e31a79f73e40-8110a70be2bfe7f75a2ea7f2a89cda4cc7732095-0.img	24	172800000	-	77309411328	1	1662048419028	1662048420730	1662050150891	1731863	1715000	qbic	2079.0	2.6	27904061440	31901466624	29327323136	33338216448	118323001675	108800095678	23321620	21995145	15899167571	25971888128	354481	3132	/sfs/7/workspace/ws/iizha01-sarek_3_0_experiments-0/experiment_bam_vs_cram/CRAM_I/work/66/19f8f7ec2e00ac7ec81727966d5573	true	-
