task_id	hash	native_id	process	tag	name	status	exit	module	container	cpus	time	disk	memory	attempt	submit	start	complete	duration	realtime	queue	%cpu	%mem	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	read_bytes	write_bytes	vol_ctxt	inv_ctxt	workdir	scratch	error_action
6	8f/a50a2e	2700745	NFCORE_SAREK:SAREK:PREPARE_GENOME:TABIX_DBSNP	dbsnp_146.hg38.vcf	NFCORE_SAREK:SAREK:PREPARE_GENOME:TABIX_DBSNP (dbsnp_146.hg38.vcf)	CACHED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-tabix-1.11--hdfd78af_0.img	1	28800000	-	1073741824	1	1661807569404	1661807570332	1661807685498	116094	113000	compute	99.7	0.0	17805312	28016640	17805312	28020736	3411226367	2397827	104296	131	614873	2404352	21	382	/sfs/7/workspace/ws/iizha01-sarek_3_0_experiments-0/experiment_bam_vs_cram/CRAM_I/work/8f/a50a2e51f8f6e422b9d6092d647d0b	true	-
7	4d/f02273	2700746	NFCORE_SAREK:SAREK:PREPARE_GENOME:MSISENSORPRO_SCAN	Homo_sapiens_assembly38	NFCORE_SAREK:SAREK:PREPARE_GENOME:MSISENSORPRO_SCAN (Homo_sapiens_assembly38)	CACHED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-msisensor-pro-1.2.0--hfc31af2_0.img	2	14400000	-	12884901888	1	1661807569448	1661807570347	1661807765503	196055	191000	compute	99.5	0.7	465203200	782868480	465203200	782872576	3250005528	83576988	396957	13592	1327712	83378176	19	424	/sfs/7/workspace/ws/iizha01-sarek_3_0_experiments-0/experiment_bam_vs_cram/CRAM_I/work/4d/f0227334b4fa33815d66a7e9c0a1f6	true	-
14	49/e202c0	2700750	NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_LOCI	G1000_loci_hg38.zip	NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_LOCI (G1000_loci_hg38.zip)	CACHED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-p7zip-15.09--h2d50403_4.img	1	14400000	-	12884901888	1	1661807569763	1661807570410	1661807575746	5983	1000	compute	98.9	0.0	4825088	42307584	4825088	42315776	8711806	34695029	490	1088	10134014	34738176	18	10	/sfs/7/workspace/ws/iizha01-sarek_3_0_experiments-0/experiment_bam_vs_cram/CRAM_I/work/49/e202c0fde9d548dd37094cbb5e840f	true	-
16	2d/140b54	2700752	NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_RT	RT_G1000_hg38.zip	NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_RT (RT_G1000_hg38.zip)	CACHED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-p7zip-15.09--h2d50403_4.img	1	14400000	-	12884901888	1	1661807570074	1661807570422	1661807580296	10222	4000	compute	99.3	0.0	4976640	42278912	4976640	42287104	106504187	406268331	1027	12419	107926006	406274048	20	43	/sfs/7/workspace/ws/iizha01-sarek_3_0_experiments-0/experiment_bam_vs_cram/CRAM_I/work/2d/140b54fba23aac584644b5a7a2cb3d	true	-
15	7e/760ba1	2700748	NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_GC	GC_G1000_hg38.zip	NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_GC (GC_G1000_hg38.zip)	CACHED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-p7zip-15.09--h2d50403_4.img	1	14400000	-	12884901888	1	1661807569587	1661807570379	1661807575719	6132	3000	compute	99.4	0.0	4763648	42278912	4763648	42287104	104902620	362428058	1015	11081	106324470	362430464	20	27	/sfs/7/workspace/ws/iizha01-sarek_3_0_experiments-0/experiment_bam_vs_cram/CRAM_I/work/7e/760ba1f43fb75a00a7ffeda5eb6759	true	-
18	3b/fa8eb3	2700749	NFCORE_SAREK:SAREK:PREPARE_CNVKIT_REFERENCE:CNVKIT_ANTITARGET	sfs	NFCORE_SAREK:SAREK:PREPARE_CNVKIT_REFERENCE:CNVKIT_ANTITARGET (sfs)	CACHED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-cnvkit-0.9.9--pyhdfd78af_0.img	2	14400000	-	12884901888	1	1661807569741	1661807570398	1661807590516	20775	18000	compute	89.4	0.5	317743104	830341120	339705856	852197376	166956212	1465976	19104	201	115321369	1474560	1358	22	/sfs/7/workspace/ws/iizha01-sarek_3_0_experiments-0/experiment_bam_vs_cram/CRAM_I/work/3b/fa8eb3271614409a01687ce57c383f	true	-
13	8a/0543e6	2700751	NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_ALLELES	G1000_alleles_hg38.zip	NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_ALLELES (G1000_alleles_hg38.zip)	CACHED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-p7zip-15.09--h2d50403_4.img	1	14400000	-	12884901888	1	1661807570032	1661807570417	1661807575765	5733	1000	compute	99.6	0.0	4857856	42278912	4857856	42287104	10309437	31412197	502	987	11731466	31457280	14	13	/sfs/7/workspace/ws/iizha01-sarek_3_0_experiments-0/experiment_bam_vs_cram/CRAM_I/work/8a/0543e6f7b42d8de4c33c593e70b059	true	-
9	f5/f72be0	2700744	NFCORE_SAREK:SAREK:PREPARE_GENOME:TABIX_KNOWN_SNPS	1000G_omni2.5.hg38.vcf	NFCORE_SAREK:SAREK:PREPARE_GENOME:TABIX_KNOWN_SNPS (1000G_omni2.5.hg38.vcf)	CACHED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-tabix-1.11--hdfd78af_0.img	1	28800000	-	1073741824	1	1661807569337	1661807570309	1661807575295	5958	1000	compute	81.8	0.0	13082624	22917120	13082624	22921216	53321411	1511181	1842	132	614887	1519616	21	8	/sfs/7/workspace/ws/iizha01-sarek_3_0_experiments-0/experiment_bam_vs_cram/CRAM_I/work/f5/f72be03be56cb39c59788428fbce10	true	-
17	a6/5be515	2700747	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED	S07604624_Padded_Agilent_SureSelectXT_allexons_V6_UTR.bed	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED (S07604624_Padded_Agilent_SureSelectXT_allexons_V6_UTR.bed)	CACHED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-gawk-5.1.0.img	1	14400000	-	1073741824	1	1661807569494	1661807570367	1661807575554	6060	1000	compute	48.8	0.0	4239360	24117248	4239360	24121344	64070644	64016389	270	15766	64016263	64520192	490	4	/sfs/7/workspace/ws/iizha01-sarek_3_0_experiments-0/experiment_bam_vs_cram/CRAM_I/work/a6/5be5154a85c2513f8640ede0e6b46f	true	-
19	64/19eca5	2700762	NFCORE_SAREK:SAREK:PREPARE_CNVKIT_REFERENCE:CNVKIT_REFERENCE	Homo_sapiens_assembly38.fasta	NFCORE_SAREK:SAREK:PREPARE_CNVKIT_REFERENCE:CNVKIT_REFERENCE (Homo_sapiens_assembly38.fasta)	CACHED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-cnvkit-0.9.9--pyhdfd78af_0.img	2	14400000	-	12884901888	1	1661807591569	1661807595889	1661807680503	88934	85000	compute	100.7	0.5	339533824	852189184	348999680	861392896	6549537621	71316608	25385	8943	116685530	71327744	715	132	/sfs/7/workspace/ws/iizha01-sarek_3_0_experiments-0/experiment_bam_vs_cram/CRAM_I/work/64/19eca5a9d2ce305c29741f28e90986	true	-
