task_id	hash	native_id	process	tag	name	status	exit	module	container	cpus	time	disk	memory	attempt	submit	start	complete	duration	realtime	queue	%cpu	%mem	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	read_bytes	write_bytes	vol_ctxt	inv_ctxt	workdir	scratch	error_action
9	f5/f72be0	2649231	NFCORE_SAREK:SAREK:PREPARE_GENOME:TABIX_KNOWN_SNPS	1000G_omni2.5.hg38.vcf	NFCORE_SAREK:SAREK:PREPARE_GENOME:TABIX_KNOWN_SNPS (1000G_omni2.5.hg38.vcf)	CACHED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-tabix-1.11--hdfd78af_0.img	1	28800000	-	1073741824	1	1660598522383	1660598535597	1660598540575	18192	2000	compute	98.7	0.0	11247616	20754432	11247616	20758528	53321390	1511181	1842	132	614887	1519616	19	11	/sfs/7/workspace/ws/iizha01-sarek_3_0_experiments-0/experiment_bam_vs_cram/CRAM_I/work/f5/f72be03be56cb39c59788428fbce10	true	-
19	ad/2512bf	2649226	NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC	CHC2111N-5	NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC (CHC2111N-5)	CACHED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-fastqc-0.11.9--0.img	2	28800000	-	4294967296	1	1660598522189	1660598535572	1660606897053	8374864	8360000	compute	159.6	0.9	593981440	3552411648	593981440	3578515456	98609337620	4121482	194414087	12363	98613062383	32604160	24	5	/sfs/7/workspace/ws/iizha01-sarek_3_0_experiments-0/experiment_bam_vs_cram/CRAM_I/work/ad/2512bf8bd646fff8e275f07093478a	true	-
10	8e/c49680	2649237	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED	wgs_calling_regions.hg38.bed	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED (wgs_calling_regions.hg38.bed)	CACHED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-gawk-5.1.0.img	1	14400000	-	1073741824	1	1660598522572	1660598535612	1660598540751	18179	0	compute	71.4	0.0	0	0	0	0	68428	14257	148	149	915	552960	0	0	/sfs/7/workspace/ws/iizha01-sarek_3_0_experiments-0/experiment_bam_vs_cram/CRAM_I/work/8e/c49680959b1d2e845e9692191eda31	true	-
22	86/247897	2649229	NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC	CHC2111T-6	NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC (CHC2111T-6)	CACHED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-fastqc-0.11.9--0.img	2	28800000	-	4294967296	1	1660598522299	1660598535588	1660610402472	11880173	11867000	compute	170.9	0.9	633917440	3552411648	645558272	3578515456	164572050369	4148651	324464199	12436	164575757321	11001856	96	6	/sfs/7/workspace/ws/iizha01-sarek_3_0_experiments-0/experiment_bam_vs_cram/CRAM_I/work/86/2478971455e235573a73518de5aa54	true	-
20	88/36ad70	2649228	NFCORE_SAREK:SAREK:FASTP	CHC2111N-5	NFCORE_SAREK:SAREK:FASTP (CHC2111N-5)	CACHED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-fastp-0.23.2--h79da9fb_0.img	12	28800000	-	4294967296	1	1660598522261	1660598535584	1660600265803	1743542	1470000	compute	1153.6	3.1	2076688384	2835750912	2076688384	2835755008	98600364527	90027479091	47849	194438	98601408102	90027593728	47	10	/sfs/7/workspace/ws/iizha01-sarek_3_0_experiments-0/experiment_bam_vs_cram/CRAM_I/work/88/36ad707c55aeda08047b63dca127a5	true	-
23	b3/64b02f	2649233	NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC	CHC2113N-7	NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC (CHC2113N-7)	CACHED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-fastqc-0.11.9--0.img	2	28800000	-	4294967296	1	1660598522451	1660598535600	1660606387013	7864562	7848000	compute	175.4	0.9	602607616	3552411648	609120256	3578515456	124505368978	4125690	245218539	12252	124509110047	8781824	102	6	/sfs/7/workspace/ws/iizha01-sarek_3_0_experiments-0/experiment_bam_vs_cram/CRAM_I/work/b3/64b02fe07290a10d2e70800aad7370	true	-
26	de/81f494	2649236	NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC	CHC2113T-8	NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC (CHC2113T-8)	CACHED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-fastqc-0.11.9--0.img	2	28800000	-	4294967296	1	1660598522540	1660598535608	1660610322465	11799925	11783000	compute	177.6	0.9	625840128	3552411648	632958976	3611652096	177714816363	4147873	350327840	12289	177718539645	10948608	95	7	/sfs/7/workspace/ws/iizha01-sarek_3_0_experiments-0/experiment_bam_vs_cram/CRAM_I/work/de/81f4943e6fde87e18841c4904d2224	true	-
30	f4/e9e606	2649503	NFCORE_SAREK:SAREK:GATK4_MAPPING:BWAMEM1_MEM	CHC2111N-5	NFCORE_SAREK:SAREK:GATK4_MAPPING:BWAMEM1_MEM (CHC2111N-5)	CACHED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-mulled-v2-fe8faa35dbf6dc65a0f7f5d4ea12e31a79f73e40-8110a70be2bfe7f75a2ea7f2a89cda4cc7732095-0.img	24	172800000	-	77309411328	1	1660600266285	1660603291639	1660604911848	4645563	1615000	qbic	2219.9	1.3	27802214400	31569620992	29076045824	31626227712	57626759169	51955062078	11089971	10654153	6679834737	11408977920	178047	243	/sfs/7/workspace/ws/iizha01-sarek_3_0_experiments-0/experiment_bam_vs_cram/CRAM_I/work/f4/e9e606c54868361810fcb0b15601b7	true	-
33	dc/7cbcdd	2649502	NFCORE_SAREK:SAREK:GATK4_MAPPING:BWAMEM1_MEM	CHC2111N-5	NFCORE_SAREK:SAREK:GATK4_MAPPING:BWAMEM1_MEM (CHC2111N-5)	CACHED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-mulled-v2-fe8faa35dbf6dc65a0f7f5d4ea12e31a79f73e40-8110a70be2bfe7f75a2ea7f2a89cda4cc7732095-0.img	24	172800000	-	77309411328	1	1660600266204	1660603136634	1660605001854	4735650	1858000	qbic	2137.1	0.0	1310720	11558912	1310720	11563008	57628101796	51956376247	11007303	10654259	6680146418	11409973248	10	1	/sfs/7/workspace/ws/iizha01-sarek_3_0_experiments-0/experiment_bam_vs_cram/CRAM_I/work/dc/7cbcdde0826b2ebb66c262195b96ef	true	-
31	0d/476a5b	2649504	NFCORE_SAREK:SAREK:GATK4_MAPPING:BWAMEM1_MEM	CHC2111N-5	NFCORE_SAREK:SAREK:GATK4_MAPPING:BWAMEM1_MEM (CHC2111N-5)	CACHED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-mulled-v2-fe8faa35dbf6dc65a0f7f5d4ea12e31a79f73e40-8110a70be2bfe7f75a2ea7f2a89cda4cc7732095-0.img	24	172800000	-	77309411328	1	1660600266320	1660603326659	1660604956866	4690546	1625000	qbic	2245.5	1.3	27781894144	31358271488	29058191360	31424901120	57626199409	51953851841	11159225	10653922	6679698595	11408441344	176159	182	/sfs/7/workspace/ws/iizha01-sarek_3_0_experiments-0/experiment_bam_vs_cram/CRAM_I/work/0d/476a5b6447036e37e55893efd9fc33	true	-
