Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio,	run
INDEL,ALL,525469,521901,3568,929868,1568,384397,1170,271,0.99321,0.997125,0.413389,0.9951639999999999,,,1.528275734138537,1.9904189516115687,	deepvariant_HG002_bwa
INDEL,PASS,525469,521901,3568,929868,1568,384397,1170,271,0.99321,0.997125,0.413389,0.9951639999999999,,,1.528275734138537,1.9904189516115687,	deepvariant_HG002_bwa
SNP,ALL,3365127,3345185,19942,3806665,2242,457459,997,282,0.994074,0.999331,0.120173,0.9966950000000001,2.1001284867575745,1.986852188099281,1.5811958532541182,1.501939703786615,	deepvariant_HG002_bwa
SNP,PASS,3365127,3345185,19942,3806665,2242,457459,997,282,0.994074,0.999331,0.120173,0.9966950000000001,2.1001284867575745,1.986852188099281,1.5811958532541182,1.501939703786615,	deepvariant_HG002_bwa
INDEL,ALL,525469,509061,16408,898201,14634,356124,10643,1315,0.968775,0.9730040000000001,0.396486,0.970885,,,1.528275734138537,1.9004474420569135,	freebayes_HG002_bwa
INDEL,PASS,525469,509061,16408,898201,14634,356124,10643,1315,0.968775,0.9730040000000001,0.396486,0.970885,,,1.528275734138537,1.9004474420569135,	freebayes_HG002_bwa
SNP,ALL,3365127,3346364,18763,4400467,104993,945258,3301,13489,0.994424,0.969613,0.21480900000000003,0.9818620000000001,2.1001284867575745,1.8234136491313822,1.5811958532541182,1.857603861783996,	freebayes_HG002_bwa
SNP,PASS,3365127,3346364,18763,4400467,104993,945258,3301,13489,0.994424,0.969613,0.21480900000000003,0.9818620000000001,2.1001284867575745,1.8234136491313822,1.5811958532541182,1.857603861783996,	freebayes_HG002_bwa
INDEL,ALL,525469,520341,5128,924072,4635,377393,2169,422,0.990241,0.9915219999999999,0.408402,0.9908809999999999,,,1.528275734138537,1.951811531291873,	haplotypecaller_filtered_HG002_bwa
INDEL,PASS,525469,520159,5310,909067,3333,363873,2168,306,0.9898950000000001,0.9938870000000001,0.400271,0.9918870000000001,,,1.528275734138537,1.9036270924272811,	haplotypecaller_filtered_HG002_bwa
SNP,ALL,3365127,3343094,22033,3992977,29760,619180,2591,2327,0.993453,0.991179,0.155067,0.992315,2.1001284867575745,1.9463298235261577,1.5811958532541182,1.740612703187128,	haplotypecaller_filtered_HG002_bwa
SNP,PASS,3365127,3343092,22035,3986881,29760,613084,2591,2327,0.993452,0.991179,0.153775,0.9923139999999999,2.1001284867575745,1.9491717683214047,1.5811958532541182,1.737842818234536,	haplotypecaller_filtered_HG002_bwa
INDEL,ALL,525469,520341,5128,924072,4635,377393,2169,422,0.990241,0.9915219999999999,0.408402,0.9908809999999999,,,1.528275734138537,1.951811531291873,	haplotypecaller_HG002_bwa
INDEL,PASS,525469,520341,5128,924072,4635,377393,2169,422,0.990241,0.9915219999999999,0.408402,0.9908809999999999,,,1.528275734138537,1.951811531291873,	haplotypecaller_HG002_bwa
SNP,ALL,3365127,3343094,22033,3992977,29760,619180,2591,2327,0.993453,0.991179,0.155067,0.992315,2.1001284867575745,1.9463298235261577,1.5811958532541182,1.740612703187128,	haplotypecaller_HG002_bwa
SNP,PASS,3365127,3343094,22033,3992977,29760,619180,2591,2327,0.993453,0.991179,0.155067,0.992315,2.1001284867575745,1.9463298235261577,1.5811958532541182,1.740612703187128,	haplotypecaller_HG002_bwa
INDEL,ALL,525469,521901,3568,929868,1568,384397,1170,271,0.99321,0.997125,0.413389,0.9951639999999999,,,1.528275734138537,1.9904189516115687,	deepvariant_HG002_bwamem2
INDEL,PASS,525469,521901,3568,929868,1568,384397,1170,271,0.99321,0.997125,0.413389,0.9951639999999999,,,1.528275734138537,1.9904189516115687,	deepvariant_HG002_bwamem2
SNP,ALL,3365127,3345185,19942,3806665,2242,457459,997,282,0.994074,0.999331,0.120173,0.9966950000000001,2.1001284867575745,1.986852188099281,1.5811958532541182,1.501939703786615,	deepvariant_HG002_bwamem2
SNP,PASS,3365127,3345185,19942,3806665,2242,457459,997,282,0.994074,0.999331,0.120173,0.9966950000000001,2.1001284867575745,1.986852188099281,1.5811958532541182,1.501939703786615,	deepvariant_HG002_bwamem2
INDEL,ALL,525469,509061,16408,898201,14634,356124,10643,1315,0.968775,0.9730040000000001,0.396486,0.970885,,,1.528275734138537,1.9004474420569135,	freebayes_HG002_bwamem2
INDEL,PASS,525469,509061,16408,898201,14634,356124,10643,1315,0.968775,0.9730040000000001,0.396486,0.970885,,,1.528275734138537,1.9004474420569135,	freebayes_HG002_bwamem2
SNP,ALL,3365127,3346364,18763,4400467,104993,945258,3301,13489,0.994424,0.969613,0.21480900000000003,0.9818620000000001,2.1001284867575745,1.8234136491313822,1.5811958532541182,1.857603861783996,	freebayes_HG002_bwamem2
