Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,ALL,*,QUAL,*,0.9665239999999999,0.648215,0.0,0.775996,593,41727,2809068885,,0.000000,536478,.,.,292829.000000,202636.000000,,1.4450986004461202,518519,.,.,284048.000000,199237.000000,,1.425678965252438,17959,.,.,8781.000000,3399.000000,,2.5834068843777582,829874,.,.,519489.000000,291794.000000,,1.780327902561396,537937,.,.,328612.000000,198168.000000,,1.6582495660247871,291937,.,.,190877.000000,93626.000000,,2.038717877512657,0,.,.,0.000000,0.000000,,
INDEL,*,*,PASS,*,QUAL,*,0.9665239999999999,0.648215,0.0,0.775996,593,41727,2809068885,,0.000000,536478,.,.,292829.000000,202636.000000,,1.4450986004461202,518519,.,.,284048.000000,199237.000000,,1.425678965252438,17959,.,.,8781.000000,3399.000000,,2.5834068843777582,829874,.,.,519489.000000,291794.000000,,1.780327902561396,537937,.,.,328612.000000,198168.000000,,1.6582495660247871,291937,.,.,190877.000000,93626.000000,,2.038717877512657,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,*,ALL,*,QUAL,*,0.6,0.0,0.0,0.0,0,0,2809068885,,0.000000,5,.,.,1.000000,4.000000,,0.25,3,.,.,0.000000,3.000000,,0.0,2,.,.,1.000000,1.000000,,1.0,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,*,PASS,*,QUAL,*,0.6,0.0,0.0,0.0,0,0,2809068885,,0.000000,5,.,.,1.000000,4.000000,,0.25,3,.,.,0.000000,3.000000,,0.0,2,.,.,1.000000,1.000000,,1.0,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C1_5,*,ALL,*,QUAL,*,0.508197,0.0,0.0,0.0,0,0,2809068885,,0.000000,61,.,.,12.000000,45.000000,,0.26666666666666666,31,.,.,5.000000,22.000000,,0.22727272727272727,30,.,.,7.000000,23.000000,,0.30434782608695654,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C1_5,*,PASS,*,QUAL,*,0.508197,0.0,0.0,0.0,0,0,2809068885,,0.000000,61,.,.,12.000000,45.000000,,0.26666666666666666,31,.,.,5.000000,22.000000,,0.22727272727272727,30,.,.,7.000000,23.000000,,0.30434782608695654,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C6_15,*,ALL,*,QUAL,*,0.791667,0.0,0.0,0.0,0,0,2809068885,,0.000000,24,.,.,11.000000,13.000000,,0.8461538461538461,19,.,.,8.000000,11.000000,,0.7272727272727273,5,.,.,3.000000,2.000000,,1.5,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C6_15,*,PASS,*,QUAL,*,0.791667,0.0,0.0,0.0,0,0,2809068885,,0.000000,24,.,.,11.000000,13.000000,,0.8461538461538461,19,.,.,8.000000,11.000000,,0.7272727272727273,5,.,.,3.000000,2.000000,,1.5,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,D16_PLUS,*,ALL,*,QUAL,*,0.8744870000000001,0.429515,0.0,0.5760810000000001,13,1487,2809068885,,0.000000,8047,.,.,4058.000000,1992.000000,,2.03714859437751,7037,.,.,3584.000000,1880.000000,,1.9063829787234043,1010,.,.,474.000000,112.000000,,4.232142857142857,16961,.,.,11996.000000,4905.000000,,2.4456676860346587,7285,.,.,5395.000000,1890.000000,,2.8544973544973544,9676,.,.,6601.000000,3015.000000,,2.1893864013266997,0,.,.,0.000000,0.000000,,
INDEL,D16_PLUS,*,PASS,*,QUAL,*,0.8744870000000001,0.429515,0.0,0.5760810000000001,13,1487,2809068885,,0.000000,8047,.,.,4058.000000,1992.000000,,2.03714859437751,7037,.,.,3584.000000,1880.000000,,1.9063829787234043,1010,.,.,474.000000,112.000000,,4.232142857142857,16961,.,.,11996.000000,4905.000000,,2.4456676860346587,7285,.,.,5395.000000,1890.000000,,2.8544973544973544,9676,.,.,6601.000000,3015.000000,,2.1893864013266997,0,.,.,0.000000,0.000000,,
