task_id	hash	native_id	process	tag	name	status	exit	module	container	cpus	time	disk	memory	attempt	submit	start	complete	duration	realtime	queue	%cpu	%mem	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	read_bytes	write_bytes	vol_ctxt	inv_ctxt	workdir	scratch	error_action
23	76/8d4c95	1427878	NFCORE_SAREK:SAREK:FASTQC	CHC912N-3	NFCORE_SAREK:SAREK:FASTQC (CHC912N-3)	CACHED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-fastqc-0.11.9--0.img	4	518400000	-	4294967296	1	1676717119389	1676717170791	1676732915231	15795842	15742000	qbic	55.9	0.2	945012736	4096262144	952246272	4122365952	108389705098	4175310	213528474	12410	108393157712	48369664	397	84	/sfs/9/ws/iizha01-QSARK/intervals/fastp_16_intervals_0/work/76/8d4c95ef501dfbdfed7ebae991a4e7	true	-
17	92/14b4f7	1427871	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED	wgs_calling_regions_noseconds.hg38.bed	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED (wgs_calling_regions_noseconds.hg38.bed)	CACHED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-gawk-5.1.0.img	1	518400000	-	1073741824	1	1676717106535	1676717145788	1676717150788	44253	1000	qbic	5.3	0.0	3936256	21848064	3936256	21852160	74991	9348	158	19	13216	20480	40	0	/sfs/9/ws/iizha01-QSARK/intervals/fastp_16_intervals_0/work/92/14b4f7d43c0353356847a8794f1b65	true	-
22	50/88508e	1427876	NFCORE_SAREK:SAREK:FASTQC	CHC892T-2	NFCORE_SAREK:SAREK:FASTQC (CHC892T-2)	CACHED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-fastqc-0.11.9--0.img	4	518400000	-	4294967296	1	1676717117907	1676717155809	1676734610726	17492819	17448000	qbic	70.7	0.2	846897152	4016181248	848699392	4081197056	162187752845	4205432	319487485	12496	162191232822	40591360	353	85	/sfs/9/ws/iizha01-QSARK/intervals/fastp_16_intervals_0/work/50/88508e6a2e1e40bc7d0b2416c153a5	true	-
5	5f/251d7e	1427870	NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_LOCI	G1000_loci_hg38.zip	NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_LOCI (G1000_loci_hg38.zip)	CACHED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-p7zip-15.09--h2d50403_4.img	1	518400000	-	1073741824	1	1676717100682	1676717145786	1676717161032	60350	0	qbic	56.1	0.0	7868416	42192896	7868416	42201088	8723561	34695046	500	1088	10134014	34738176	48	9	/sfs/9/ws/iizha01-QSARK/intervals/fastp_16_intervals_0/work/5f/251d7efaf7904498350d1393944758	true	-
6	fe/882c24	1427866	NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_ALLELES	G1000_alleles_hg38.zip	NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_ALLELES (G1000_alleles_hg38.zip)	CACHED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-p7zip-15.09--h2d50403_4.img	1	518400000	-	1073741824	1	1676717096014	1676717125786	1676717140786	44772	0	qbic	71.2	0.0	9957376	42192896	9957376	42201088	10320964	31412212	512	987	11731466	31457280	79	13	/sfs/9/ws/iizha01-QSARK/intervals/fastp_16_intervals_0/work/fe/882c24b3447c5cc303837a3426868e	true	-
10	16/83c497	1427864	NFCORE_SAREK:SAREK:PREPARE_GENOME:MSISENSORPRO_SCAN	Homo_sapiens_assembly38	NFCORE_SAREK:SAREK:PREPARE_GENOME:MSISENSORPRO_SCAN (Homo_sapiens_assembly38)	CACHED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-msisensor-pro-1.2.0--hfc31af2_0.img	2	518400000	-	12884901888	1	1676717090634	1676717100786	1676717190790	100156	86000	qbic	99.5	0.1	465141760	782901248	465141760	782905344	3250016684	83573642	396967	13592	1327712	83374080	116	31470	/sfs/9/ws/iizha01-QSARK/intervals/fastp_16_intervals_0/work/16/83c4979e143f120845f0abfa97cd07	true	-
26	c6/576937	1427880	NFCORE_SAREK:SAREK:FASTQC	CHC912T-4	NFCORE_SAREK:SAREK:FASTQC (CHC912T-4)	CACHED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-fastqc-0.11.9--0.img	4	518400000	-	4294967296	1	1676717123127	1676717190860	1676736165818	19042691	18971000	qbic	74.9	0.2	948707328	4096262144	957894656	4122365952	185238653130	4150562	364958317	12295	185242132291	43831296	374	98	/sfs/9/ws/iizha01-QSARK/intervals/fastp_16_intervals_0/work/c6/576937bf8cc167100b0d2377559898	true	-
12	2d/a45a0b	1427872	NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_ANTITARGET	nfsmounts	NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_ANTITARGET (nfsmounts)	CACHED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-cnvkit-0.9.9--pyhdfd78af_0.img	2	518400000	-	12884901888	1	1676717113626	1676717150855	1676717161205	47579	8000	qbic	84.8	0.0	133971968	350572544	133971968	351100928	102960820	41046	11301	26	51203637	49152	2853	1220	/sfs/9/ws/iizha01-QSARK/intervals/fastp_16_intervals_0/work/2d/a45a0ba67728910ca1f7223a1fd137	true	-
18	b3/0790ae	1427863	NFCORE_SAREK:SAREK:PREPARE_GENOME:TABIX_DBSNP	dbsnp_146.hg38.vcf	NFCORE_SAREK:SAREK:PREPARE_GENOME:TABIX_DBSNP (dbsnp_146.hg38.vcf)	CACHED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-tabix-1.11--hdfd78af_0.img	1	518400000	-	1073741824	1	1676717086899	1676717090971	1676717160787	73888	63000	qbic	99.4	0.0	20410368	27500544	20410368	27504640	3411237557	2397842	104305	131	614873	2404352	545	23735	/sfs/9/ws/iizha01-QSARK/intervals/fastp_16_intervals_0/work/b3/0790ae46d895d6e5ad3387d96ff78c	true	-
20	30/1778ea	1427874	NFCORE_SAREK:SAREK:FASTQC	CHC892N-1	NFCORE_SAREK:SAREK:FASTQC (CHC892N-1)	CACHED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-fastqc-0.11.9--0.img	4	518400000	-	4294967296	1	1676717114543	1676717155807	1676731815087	14700544	14657000	qbic	48.0	0.2	829640704	4016181248	831438848	4081197056	93663578745	4258238	184462079	12630	93667040222	35676160	367	90	/sfs/9/ws/iizha01-QSARK/intervals/fastp_16_intervals_0/work/30/1778ea5447fd3b711bd213d9ef7ea4	true	-
