task_id	hash	native_id	process	tag	name	status	exit	module	container	cpus	time	disk	memory	attempt	submit	start	complete	duration	realtime	queue	%cpu	%mem	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	read_bytes	write_bytes	vol_ctxt	inv_ctxt	workdir	scratch	error_action
18	3d/6b0823	6690134	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED	wgs_calling_regions_noseconds.hg38.bed	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED (wgs_calling_regions_noseconds.hg38.bed)	COMPLETED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-gawk-5.1.0.img	1	259200000	-	1073741824	1	1699569214836	1699569217409	1699569222409	7573	0	qbic	20.4	0.0	2936832	11575296	2936832	11579392	74185	9337	157	27	5023	53248	9	0	/sfs/9/ws/iizha01-QSARK/intervals/fastp_12_intervals_10/work/3d/6b08235bc571579a23fd06de23be36	true	-
4	81/555cff	6690135	NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_ALLELES	G1000_alleles_hg38.zip	NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_ALLELES (G1000_alleles_hg38.zip)	COMPLETED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-p7zip-15.09--h2d50403_4.img	1	259200000	-	1073741824	1	1699569214855	1699569217427	1699569222441	7586	0	qbic	54.4	0.0	2936832	11575296	2936832	11579392	10320384	31412202	511	987	11731466	31457280	9	1	/sfs/9/ws/iizha01-QSARK/intervals/fastp_12_intervals_10/work/81/555cfff19856132096982e7e38cf5f	true	-
6	95/5c62b1	6690137	NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_RT	RT_G1000_hg38.zip	NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_RT (RT_G1000_hg38.zip)	COMPLETED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-p7zip-15.09--h2d50403_4.img	1	259200000	-	1073741824	1	1699569214883	1699569217430	1699569222451	7568	2000	qbic	92.7	0.0	2871296	11575296	2871296	11579392	106515136	406268336	1036	12419	70132214	406274048	9	1	/sfs/9/ws/iizha01-QSARK/intervals/fastp_12_intervals_10/work/95/5c62b199141417a5eba9022e0f0f60	true	-
16	40/618f86	6690139	NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_LOCI	G1000_loci_hg38.zip	NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_LOCI (G1000_loci_hg38.zip)	COMPLETED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-p7zip-15.09--h2d50403_4.img	1	259200000	-	1073741824	1	1699569214912	1699569217433	1699569222489	7577	0	qbic	53.6	0.0	2936832	11575296	2936832	11579392	8722755	34695034	499	1088	10134014	34738176	9	0	/sfs/9/ws/iizha01-QSARK/intervals/fastp_12_intervals_10/work/40/618f865c17e5b21648c68318703160	true	-
2	bd/dc566b	6690140	NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_GC	GC_G1000_hg38.zip	NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_GC (GC_G1000_hg38.zip)	COMPLETED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-p7zip-15.09--h2d50403_4.img	1	259200000	-	1073741824	1	1699569214925	1699569217434	1699569222498	7573	2000	qbic	95.2	0.0	2920448	11575296	2920448	11579392	104913493	362428063	1024	11081	69194230	362430464	9	1	/sfs/9/ws/iizha01-QSARK/intervals/fastp_12_intervals_10/work/bd/dc566b8845687dae8e71349ba5ac5b	true	-
9	f8/3c670b	6690141	NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_ANTITARGET	nfsmounts	NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_ANTITARGET (nfsmounts)	COMPLETED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-cnvkit-0.9.9--pyhdfd78af_0.img	2	259200000	-	12884901888	1	1699569214938	1699569217435	1699569227412	12474	8000	qbic	78.4	0.0	147750912	365580288	147750912	365584384	102960015	41034	11300	26	51203637	49152	3499	1466	/sfs/9/ws/iizha01-QSARK/intervals/fastp_12_intervals_10/work/f8/3c670be97557e120194bbc7a395026	true	-
19	8c/d7db00	6690142	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT	chr12_10001-7083650	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr12_10001-7083650)	COMPLETED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-tabix-1.11--hdfd78af_0.img	1	259200000	-	1073741824	1	1699569222537	1699569227429	1699569227431	4894	0	qbic	63.4	0.0	0	0	0	0	103869	4074	218	47	780720	16384	0	0	/sfs/9/ws/iizha01-QSARK/intervals/fastp_12_intervals_10/work/8c/d7db00094331cd596c5d387443dcbd	true	-
23	40/6a76b6	6690145	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT	chr9_134185537-138334717	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr9_134185537-138334717)	COMPLETED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-tabix-1.11--hdfd78af_0.img	1	259200000	-	1073741824	1	1699569222801	1699569227446	1699569227447	4646	0	qbic	58.2	0.0	3330048	5640192	3330048	5644288	103788	4041	234	47	780663	16384	19	1	/sfs/9/ws/iizha01-QSARK/intervals/fastp_12_intervals_10/work/40/6a76b6cd0645f78ce50c6c47b1ad75	true	-
20	a3/8db958	6690149	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT	chr2_16146120-32867130	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr2_16146120-32867130)	COMPLETED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-tabix-1.11--hdfd78af_0.img	1	259200000	-	1073741824	1	1699569222881	1699569227463	1699569227465	4584	0	qbic	54.5	0.0	3338240	5640192	3338240	5644288	103404	3807	234	47	780378	16384	17	1	/sfs/9/ws/iizha01-QSARK/intervals/fastp_12_intervals_10/work/a3/8db958cec5d7963e9acfeb92ec87fd	true	-
24	f1/bf6036	6690151	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT	chr8_7667128-12234345	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr8_7667128-12234345)	COMPLETED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-tabix-1.11--hdfd78af_0.img	1	259200000	-	1073741824	1	1699569222902	1699569227478	1699569227479	4577	0	qbic	75.3	0.0	3366912	5640192	3366912	5644288	104174	4046	234	47	780947	16384	16	1	/sfs/9/ws/iizha01-QSARK/intervals/fastp_12_intervals_10/work/f1/bf60363370cbb097be099ec103cd3b	true	-
