task_id	hash	native_id	process	tag	name	status	exit	module	container	cpus	time	disk	memory	attempt	submit	start	complete	duration	realtime	queue	%cpu	%mem	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	read_bytes	write_bytes	vol_ctxt	inv_ctxt	workdir	scratch	error_action
19	18/f5068d	2774063	NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC	CHC2111N-5	NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC (CHC2111N-5)	CACHED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-fastqc-0.11.9--0.img	4	28800000	-	-	1	1662927970410	1662927973601	1662934474362	6503952	6499000	compute	177.7	1.4	960155648	4164386816	970375168	4190490624	98609328363	4121482	194414075	12363	98613066479	8048640	99	10	/sfs/7/workspace/ws/iizha01-sarek_3_0_experiments-0/experiment_bam_vs_cram/CRAM_I/work/18/f5068dc198f0328c95297881c3d996	true	-
21	f3/56ca6a	2774067	NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC	CHC2113N-7	NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC (CHC2113N-7)	CACHED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-fastqc-0.11.9--0.img	4	28800000	-	-	1	1662927970530	1662927973623	1662935114399	7143869	7140000	compute	181.0	1.4	938217472	4164386816	940404736	4221677568	124505360008	4125690	245218528	12344	124509110047	8433664	100	5	/sfs/7/workspace/ws/iizha01-sarek_3_0_experiments-0/experiment_bam_vs_cram/CRAM_I/work/f3/56ca6ac9a6d9818555ae44f6850fab	true	-
16	8e/c49680	2774062	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED	wgs_calling_regions.hg38.bed	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED (wgs_calling_regions.hg38.bed)	CACHED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-gawk-5.1.0.img	1	14400000	-	-	1	1662927970357	1662927973563	1662927978562	8205	0	compute	60.4	0.0	0	0	0	0	68430	14257	148	149	17299	552960	0	0	/sfs/7/workspace/ws/iizha01-sarek_3_0_experiments-0/experiment_bam_vs_cram/CRAM_I/work/8e/c49680959b1d2e845e9692191eda31	true	-
7	f5/f72be0	2774064	NFCORE_SAREK:SAREK:PREPARE_GENOME:TABIX_KNOWN_SNPS	1000G_omni2.5.hg38.vcf	NFCORE_SAREK:SAREK:PREPARE_GENOME:TABIX_KNOWN_SNPS (1000G_omni2.5.hg38.vcf)	CACHED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-tabix-1.11--hdfd78af_0.img	1	28800000	-	-	1	1662927970445	1662927973606	1662927978648	8203	2000	compute	75.1	0.0	7671808	17096704	7671808	17100800	53321382	1511181	1842	132	53854695	1519616	27	5	/sfs/7/workspace/ws/iizha01-sarek_3_0_experiments-0/experiment_bam_vs_cram/CRAM_I/work/f5/f72be03be56cb39c59788428fbce10	true	-
24	47/6a443f	2774068	NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC	CHC2115N-9	NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC (CHC2115N-9)	CACHED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-fastqc-0.11.9--0.img	4	28800000	-	-	1	1662927970559	1662927973628	1662933994343	6023784	6019000	compute	180.3	1.2	822018048	4084305920	822018048	4087406592	103525270162	4175049	203913401	12428	103529000928	7868416	100	5	/sfs/7/workspace/ws/iizha01-sarek_3_0_experiments-0/experiment_bam_vs_cram/CRAM_I/work/47/6a443fe22d34e8e57604f2b84558ca	true	-
20	88/36ad70	2774065	NFCORE_SAREK:SAREK:FASTP	CHC2111N-5	NFCORE_SAREK:SAREK:FASTP (CHC2111N-5)	CACHED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-fastp-0.23.2--h79da9fb_0.img	12	28800000	-	4294967296	1	1662927970473	1662927973612	1662930018884	2048411	1790000	compute	1068.0	3.1	2063028224	2835750912	2063028224	2902863872	98600364561	90027479092	47850	194438	98601408102	90027614208	68	3	/sfs/7/workspace/ws/iizha01-sarek_3_0_experiments-0/experiment_bam_vs_cram/CRAM_I/work/88/36ad707c55aeda08047b63dca127a5	true	-
22	b6/2a004f	2774066	NFCORE_SAREK:SAREK:FASTP	CHC2113N-7	NFCORE_SAREK:SAREK:FASTP (CHC2113N-7)	CACHED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-fastp-0.23.2--h79da9fb_0.img	12	28800000	-	4294967296	1	1662927970501	1662927973617	1662930458952	2488451	2065000	compute	1058.1	3.1	2083475456	2835750912	2083475456	2902863872	124496412213	114115519513	60377	218438	124497455766	114115710976	74	3	/sfs/7/workspace/ws/iizha01-sarek_3_0_experiments-0/experiment_bam_vs_cram/CRAM_I/work/b6/2a004f9bccb462b65e03f028d41de8	true	-
38	cd/e462e9	2774228	NFCORE_SAREK:SAREK:GATK4_MAPPING:BWAMEM1_MEM	CHC2111N-5	NFCORE_SAREK:SAREK:GATK4_MAPPING:BWAMEM1_MEM (CHC2111N-5)	CACHED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-mulled-v2-fe8faa35dbf6dc65a0f7f5d4ea12e31a79f73e40-8110a70be2bfe7f75a2ea7f2a89cda4cc7732095-0.img	24	172800000	-	-	1	1662930019281	1662944450015	1662946045123	16025842	1590000	qbic	2170.5	0.0	1310720	11558912	1310720	11563008	57628101887	51956376248	11049923	10654259	6680146418	11409903616	10	1	/sfs/7/workspace/ws/iizha01-sarek_3_0_experiments-0/experiment_bam_vs_cram/CRAM_I/work/cd/e462e9d14ed823fcc642f3e31c9353	true	-
35	ef/998625	2774231	NFCORE_SAREK:SAREK:GATK4_MAPPING:BWAMEM1_MEM	CHC2111N-5	NFCORE_SAREK:SAREK:GATK4_MAPPING:BWAMEM1_MEM (CHC2111N-5)	CACHED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-mulled-v2-fe8faa35dbf6dc65a0f7f5d4ea12e31a79f73e40-8110a70be2bfe7f75a2ea7f2a89cda4cc7732095-0.img	24	172800000	-	-	1	1662930019446	1662947275236	1662948915311	18895865	1632000	qbic	2188.4	0.0	1318912	11558912	1318912	11563008	57626757204	51955062084	11097258	10654153	6679834737	11409072128	10	1	/sfs/7/workspace/ws/iizha01-sarek_3_0_experiments-0/experiment_bam_vs_cram/CRAM_I/work/ef/9986250b466da5ed6c460af1f1bfcf	true	-
37	2b/6bf9e1	2774230	NFCORE_SAREK:SAREK:GATK4_MAPPING:BWAMEM1_MEM	CHC2111N-5	NFCORE_SAREK:SAREK:GATK4_MAPPING:BWAMEM1_MEM (CHC2111N-5)	CACHED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-mulled-v2-fe8faa35dbf6dc65a0f7f5d4ea12e31a79f73e40-8110a70be2bfe7f75a2ea7f2a89cda4cc7732095-0.img	24	172800000	-	-	1	1662930019411	1662946045153	1662947640221	17620810	1589000	qbic	2169.3	1.3	27849670656	31425380352	28965777408	31492009984	57626231699	51953819132	11049628	10653972	6679789663	11408392192	179022	46	/sfs/7/workspace/ws/iizha01-sarek_3_0_experiments-0/experiment_bam_vs_cram/CRAM_I/work/2b/6bf9e1d5fef6be3c402f51478065f3	true	-
