task_id	hash	native_id	process	tag	name	status	exit	module	container	cpus	time	disk	memory	attempt	submit	start	complete	duration	realtime	queue	%cpu	%mem	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	read_bytes	write_bytes	vol_ctxt	inv_ctxt	workdir	scratch	error_action
8	e0/64f0e0	2001107	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED	wgs_calling_regions_noseconds.hg38.bed	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED (wgs_calling_regions_noseconds.hg38.bed)	CACHED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-gawk-5.1.0.img	1	14400000	-	1073741824	1	1681199385359	1681199389249	1681199394235	8876	0	preempt	18.0	0.0	3014656	11575296	3014656	11579392	75180	9349	158	140	13213	516096	9	0	/sfs/9/ws/iizha01-QSARK/bam_vs_cram/bam/spark/work/e0/64f0e0dc9d0079be2ff6dc3754bfd6	true	-
19	68/ccf889	2001109	NFCORE_SAREK:SAREK:FASTP	CHC892N-1	NFCORE_SAREK:SAREK:FASTP (CHC892N-1)	CACHED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-fastp-0.23.2--h79da9fb_0.img	12	28800000	-	4294967296	1	1681199385409	1681199389251	1681201169400	1783991	1682000	preempt	717.3	0.3	1861308416	2701565952	1861316608	2701570048	93654634112	72384000597	45431	135014	93655707956	72384065536	135	61	/sfs/9/ws/iizha01-QSARK/bam_vs_cram/bam/spark/work/68/ccf88938ce6f6ddcc276d3cb834dbe	true	-
25	d7/cd1e4e	2001105	NFCORE_SAREK:SAREK:FASTP	CHC2113N-7	NFCORE_SAREK:SAREK:FASTP (CHC2113N-7)	CACHED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-fastp-0.23.2--h79da9fb_0.img	12	28800000	-	4294967296	1	1681199385280	1681199389233	1681200954391	1569111	1405000	preempt	1012.4	0.4	2075009024	2835783680	2077753344	2835787776	124496423926	114115519530	60385	218438	124499100331	114115629056	323	55	/sfs/9/ws/iizha01-QSARK/bam_vs_cram/bam/spark/work/d7/cd1e4e55405010d03fb3525c48c2fc	true	-
21	ac/70ab02	2001110	NFCORE_SAREK:SAREK:FASTP	CHC912N-3	NFCORE_SAREK:SAREK:FASTP (CHC912N-3)	CACHED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-fastp-0.23.2--h79da9fb_0.img	12	28800000	-	4294967296	1	1681199385422	1681199389253	1681200854378	1468956	1321000	preempt	1041.6	0.4	2078920704	2835783680	2078953472	2835787776	108380755693	98688730190	52573	195754	108381829535	98688819200	248	61	/sfs/9/ws/iizha01-QSARK/bam_vs_cram/bam/spark/work/ac/70ab02e9d478d8ef74e88829e3b1ec	true	-
24	fc/829c11	2001108	NFCORE_SAREK:SAREK:FASTP	CHC2111T-6	NFCORE_SAREK:SAREK:FASTP (CHC2111T-6)	CACHED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-fastp-0.23.2--h79da9fb_0.img	12	28800000	-	4294967296	1	1681199385374	1681199389250	1681201484425	2099051	1904000	preempt	997.0	0.4	2088693760	2835783680	2088726528	2902896640	164563071201	150597246911	79754	323174	164564145045	150597365760	231	60	/sfs/9/ws/iizha01-QSARK/bam_vs_cram/bam/spark/work/fc/829c1156ec9e0a793ca9536a0d5546	true	-
20	60/374d3f	2001111	NFCORE_SAREK:SAREK:FASTP	CHC892T-2	NFCORE_SAREK:SAREK:FASTP (CHC892T-2)	CACHED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-fastp-0.23.2--h79da9fb_0.img	12	28800000	-	4294967296	1	1681199385433	1681199389254	1681201274413	1888980	1695000	preempt	1000.0	0.4	2182799360	2970001408	2182799360	2970005504	162178826799	128439299428	78571	237982	162179900556	128439398400	194	66	/sfs/9/ws/iizha01-QSARK/bam_vs_cram/bam/spark/work/60/374d3f83d25df7f2a397520608ec8e	true	-
22	ed/3e926c	2001112	NFCORE_SAREK:SAREK:FASTP	CHC912T-4	NFCORE_SAREK:SAREK:FASTP (CHC912T-4)	CACHED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-fastp-0.23.2--h79da9fb_0.img	12	28800000	-	4294967296	1	1681199385444	1681199389255	1681201789453	2404009	2169000	preempt	995.1	0.4	2118950912	2835783680	2118950912	2902896640	185229730356	169562552665	89727	335414	185230804114	169562660864	230	63	/sfs/9/ws/iizha01-QSARK/bam_vs_cram/bam/spark/work/ed/3e926cc6eba7ff96fbb3a84141bb37	true	-
26	63/69090d	2001113	NFCORE_SAREK:SAREK:FASTP	CHC2113T-8	NFCORE_SAREK:SAREK:FASTP (CHC2113T-8)	CACHED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-fastp-0.23.2--h79da9fb_0.img	12	28800000	-	4294967296	1	1681199385458	1681199389256	1681201649439	2263981	2025000	preempt	1005.6	0.4	2095902720	2835783680	2095910912	2835787776	177705853612	161856306677	86076	339722	177706927369	161856430080	242	58	/sfs/9/ws/iizha01-QSARK/bam_vs_cram/bam/spark/work/63/69090da526307551599b213ae834b7	true	-
28	cd/409268	2001115	NFCORE_SAREK:SAREK:FASTP	CHC2115T-10	NFCORE_SAREK:SAREK:FASTP (CHC2115T-10)	CACHED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-fastp-0.23.2--h79da9fb_0.img	12	28800000	-	4294967296	1	1681199385479	1681199389259	1681201989464	2603985	2383000	preempt	1011.1	0.4	2104655872	2835783680	2107334656	2835787776	185990065640	170529563303	90040	340438	185991139396	170529652736	205	58	/sfs/9/ws/iizha01-QSARK/bam_vs_cram/bam/spark/work/cd/4092684b1298526b4894b6ff4495ab	true	-
23	1b/79bdce	2001106	NFCORE_SAREK:SAREK:FASTP	CHC2111N-5	NFCORE_SAREK:SAREK:FASTP (CHC2111N-5)	CACHED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-fastp-0.23.2--h79da9fb_0.img	12	28800000	-	4294967296	1	1681199385345	1681199389247	1681200694372	1309027	1184000	preempt	994.4	0.4	2066657280	2835783680	2066722816	2902896640	98600376262	90027479107	47858	194438	98601450107	90027581440	300	67	/sfs/9/ws/iizha01-QSARK/bam_vs_cram/bam/spark/work/1b/79bdce4f0dffecb4feaa7029aaec83	true	-
27	05/a9b3ef	2001114	NFCORE_SAREK:SAREK:FASTP	CHC2115N-9	NFCORE_SAREK:SAREK:FASTP (CHC2115N-9)	CACHED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-fastp-0.23.2--h79da9fb_0.img	12	28800000	-	4294967296	1	1681199385469	1681199389258	1681200709377	1323908	1165000	preempt	1008.0	0.4	2054778880	2835783680	2057801728	2902896640	103516314893	94850710685	50228	184166	103519140716	94850826240	202	62	/sfs/9/ws/iizha01-QSARK/bam_vs_cram/bam/spark/work/05/a9b3efdc85dbb7ddd063d0b3b5f024	true	-
39	47/69734d	2001338	NFCORE_SAREK:SAREK:FASTQ_ALIGN_BWAMEM_MEM2_DRAGMAP:BWAMEM2_MEM	CHC892N-1	NFCORE_SAREK:SAREK:FASTQ_ALIGN_BWAMEM_MEM2_DRAGMAP:BWAMEM2_MEM (CHC892N-1)	CACHED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-mulled-v2-e5d375990341c5aef3c9aff74f96f66f65375ef6-2cdf6bf1e92acbeb9b2834b1c58754167173a410-0.img	24	57600000	-	64424509440	1	1681201171891	1681201514475	1681202484507	1312616	964000	preempt	2106.1	8.1	44106174464	56763424768	44240273408	58058301440	61959575183	46405313888	8898733	8641815	6037661944	13739769856	145159	41571	/sfs/9/ws/iizha01-QSARK/bam_vs_cram/bam/spark/work/47/69734dd2b2438cd396b57762a78ec3	true	-
47	8c/76f8cb	2001341	NFCORE_SAREK:SAREK:FASTQ_ALIGN_BWAMEM_MEM2_DRAGMAP:BWAMEM2_MEM	CHC892N-1	NFCORE_SAREK:SAREK:FASTQ_ALIGN_BWAMEM_MEM2_DRAGMAP:BWAMEM2_MEM (CHC892N-1)	CACHED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-mulled-v2-e5d375990341c5aef3c9aff74f96f66f65375ef6-2cdf6bf1e92acbeb9b2834b1c58754167173a410-0.img	24	57600000	-	64424509440	1	1681201172421	1681201559490	1681202519509	1347088	949000	preempt	2153.6	0.0	2924544	11575296	2924544	11579392	61963601489	46411241695	8966070	8642874	6037330640	13741645824	13	0	/sfs/9/ws/iizha01-QSARK/bam_vs_cram/bam/spark/work/8c/76f8cbd3bdb0b97951f4125068ca90	true	-
37	cf/64930b	2001336	NFCORE_SAREK:SAREK:FASTQ_ALIGN_BWAMEM_MEM2_DRAGMAP:BWAMEM2_MEM	CHC892N-1	NFCORE_SAREK:SAREK:FASTQ_ALIGN_BWAMEM_MEM2_DRAGMAP:BWAMEM2_MEM (CHC892N-1)	CACHED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-mulled-v2-e5d375990341c5aef3c9aff74f96f66f65375ef6-2cdf6bf1e92acbeb9b2834b1c58754167173a410-0.img	24	57600000	-	64424509440	1	1681201170842	1681201494476	1681202444506	1273664	945000	preempt	2165.4	8.2	44658888704	57588781056	44695621632	58285441024	61961343016	46408663686	9064446	8642312	6037209845	13741228032	147142	22005	/sfs/9/ws/iizha01-QSARK/bam_vs_cram/bam/spark/work/cf/64930b981c9e296b6d3a1d85f44b9d	true	-
34	37/236138	2001342	NFCORE_SAREK:SAREK:FASTQ_ALIGN_BWAMEM_MEM2_DRAGMAP:BWAMEM2_MEM	CHC892N-1	NFCORE_SAREK:SAREK:FASTQ_ALIGN_BWAMEM_MEM2_DRAGMAP:BWAMEM2_MEM (CHC892N-1)	CACHED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-mulled-v2-e5d375990341c5aef3c9aff74f96f66f65375ef6-2cdf6bf1e92acbeb9b2834b1c58754167173a410-0.img	24	57600000	-	64424509440	1	1681201172628	1681201564478	1681202524509	1351881	954000	preempt	2150.7	0.0	2936832	11575296	2936832	11579392	61958875653	46405285552	9064954	8641758	6037680698	13740027904	13	1	/sfs/9/ws/iizha01-QSARK/bam_vs_cram/bam/spark/work/37/23613842e62ec27fcf2bad2f4ad6eb	true	-
43	01/c48dc5	2001346	NFCORE_SAREK:SAREK:FASTQ_ALIGN_BWAMEM_MEM2_DRAGMAP:BWAMEM2_MEM	CHC892N-1	NFCORE_SAREK:SAREK:FASTQ_ALIGN_BWAMEM_MEM2_DRAGMAP:BWAMEM2_MEM (CHC892N-1)	CACHED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-mulled-v2-e5d375990341c5aef3c9aff74f96f66f65375ef6-2cdf6bf1e92acbeb9b2834b1c58754167173a410-0.img	24	57600000	-	64424509440	1	1681201173141	1681201574483	1681202534521	1361380	949000	preempt	2157.6	8.2	44582322176	57229471744	44605427712	58041237504	61959969166	46406642758	9056532	8641990	6038164801	13740412928	148377	32990	/sfs/9/ws/iizha01-QSARK/bam_vs_cram/bam/spark/work/01/c48dc522a691c2b5f4958cd6a2b844	true	-
46	b0/b06ac8	2001347	NFCORE_SAREK:SAREK:FASTQ_ALIGN_BWAMEM_MEM2_DRAGMAP:BWAMEM2_MEM	CHC892N-1	NFCORE_SAREK:SAREK:FASTQ_ALIGN_BWAMEM_MEM2_DRAGMAP:BWAMEM2_MEM (CHC892N-1)	CACHED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-mulled-v2-e5d375990341c5aef3c9aff74f96f66f65375ef6-2cdf6bf1e92acbeb9b2834b1c58754167173a410-0.img	24	57600000	-	64424509440	1	1681201173454	1681201584471	1681202544511	1371057	949000	preempt	2152.8	8.2	44553707520	57588772864	44861149184	57974370304	61960423554	46407545499	9046419	8642095	6037213649	13740941312	147783	32372	/sfs/9/ws/iizha01-QSARK/bam_vs_cram/bam/spark/work/b0/b06ac8bae43da1b17328f02b29ad88	true	-
32	5b/8cad2c	2001343	NFCORE_SAREK:SAREK:FASTQ_ALIGN_BWAMEM_MEM2_DRAGMAP:BWAMEM2_MEM	CHC892N-1	NFCORE_SAREK:SAREK:FASTQ_ALIGN_BWAMEM_MEM2_DRAGMAP:BWAMEM2_MEM (CHC892N-1)	CACHED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-mulled-v2-e5d375990341c5aef3c9aff74f96f66f65375ef6-2cdf6bf1e92acbeb9b2834b1c58754167173a410-0.img	24	57600000	-	64424509440	1	1681201172798	1681201569497	1681202529510	1356712	950000	preempt	2156.4	8.2	44498583552	56903712768	44596461568	58318356480	61964241728	46411084349	9034171	8642737	6038341668	13741973504	144877	34370	/sfs/9/ws/iizha01-QSARK/bam_vs_cram/bam/spark/work/5b/8cad2c9f16424850f0ab37c9182199	true	-
77	cd/a5cb1e	2001267	NFCORE_SAREK:SAREK:FASTQ_ALIGN_BWAMEM_MEM2_DRAGMAP:BWAMEM2_MEM	CHC2115N-9	NFCORE_SAREK:SAREK:FASTQ_ALIGN_BWAMEM_MEM2_DRAGMAP:BWAMEM2_MEM (CHC2115N-9)	CACHED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-mulled-v2-e5d375990341c5aef3c9aff74f96f66f65375ef6-2cdf6bf1e92acbeb9b2834b1c58754167173a410-0.img	24	57600000	-	64424509440	1	1681200711416	1681200715355	1681201644450	933034	897000	preempt	2128.0	8.2	44196626432	57320833024	44259258368	58462527488	71432041438	56467852870	11030353	10726076	7404307134	15648587776	184012	25533	/sfs/9/ws/iizha01-QSARK/bam_vs_cram/bam/spark/work/cd/a5cb1e2374dc27b58807636021494b	true	-
