task_id	hash	native_id	process	tag	name	status	exit	module	container	cpus	time	disk	memory	attempt	submit	start	complete	duration	realtime	queue	%cpu	%mem	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	read_bytes	write_bytes	vol_ctxt	inv_ctxt	workdir	scratch	error_action
4	c8/46ecb4	2041023	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED	wgs_calling_regions_noseconds.hg38.bed	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED (wgs_calling_regions_noseconds.hg38.bed)	COMPLETED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-gawk-5.1.0.img	1	518400000	-	1073741824	1	1682087119327	1682087123063	1682087128047	8720	0	qbic	40.8	0.0	2936832	11575296	2936832	11579392	75280	9351	158	140	13213	516096	11	2	/sfs/9/ws/iizha01-QSARK/intervals/fastp_12/work/c8/46ecb4c5964d8bd7fbb4385c56a466	true	-
44	f9/e22908	2041044	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT	chr3_10001-90565295	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr3_10001-90565295)	COMPLETED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-tabix-1.11--hdfd78af_0.img	1	518400000	-	1073741824	1	1682087128264	1682087133055	1682087133057	4793	0	qbic	51.4	0.0	3211264	5640192	3211264	5644288	104322	3439	235	47	780248	16384	16	0	/sfs/9/ws/iizha01-QSARK/intervals/fastp_12/work/f9/e22908c539ce4a38d6e4ab841186c4	true	-
52	8c/b37ab8	2041045	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT	chr9_68220553-134183092	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr9_68220553-134183092)	COMPLETED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-tabix-1.11--hdfd78af_0.img	1	518400000	-	1073741824	1	1682087128291	1682087138057	1682087138059	9768	0	qbic	55.9	0.0	3272704	5640192	3272704	5644288	104146	3390	235	47	780130	16384	18	0	/sfs/9/ws/iizha01-QSARK/intervals/fastp_12/work/8c/b37ab83a8506e296a47ece563f8f44	true	-
43	d0/06a306	2041046	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT	chr1_29553836-121976459	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr1_29553836-121976459)	COMPLETED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-tabix-1.11--hdfd78af_0.img	1	518400000	-	1073741824	1	1682087128349	1682087138074	1682087138075	9726	0	qbic	64.6	0.0	0	0	0	0	104290	3418	235	47	780230	16384	0	0	/sfs/9/ws/iizha01-QSARK/intervals/fastp_12/work/d0/06a306c06dda94d7f21456c1fc154f	true	-
42	9a/b7a6c0	2041047	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT	chr12_37257056-37379851	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr12_37257056-37379851)	COMPLETED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-tabix-1.11--hdfd78af_0.img	1	518400000	-	1073741824	1	1682087128368	1682087143056	1682087143058	14690	0	qbic	56.1	0.0	3350528	5640192	3350528	5644288	104290	3564	235	47	780229	16384	18	1	/sfs/9/ws/iizha01-QSARK/intervals/fastp_12/work/9a/b7a6c0986c2d8bf64048a4e0d0e414	true	-
39	4e/5d951f	2041048	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT	chr2_97489619-238903659	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr2_97489619-238903659)	COMPLETED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-tabix-1.11--hdfd78af_0.img	1	518400000	-	1073741824	1	1682087128480	1682087143071	1682087143072	14592	0	qbic	62.4	0.0	0	0	0	0	104187	3486	235	47	780155	16384	0	0	/sfs/9/ws/iizha01-QSARK/intervals/fastp_12/work/4e/5d951f7bbf9003e558ecbbe755f681	true	-
45	85/45d98b	2041049	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT	chr14_19611714-106883718	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr14_19611714-106883718)	COMPLETED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-tabix-1.11--hdfd78af_0.img	1	518400000	-	1073741824	1	1682087128563	1682087148058	1682087148060	19497	0	qbic	77.7	0.0	3194880	5640192	3194880	5644288	104261	3442	235	47	780207	16384	16	2	/sfs/9/ws/iizha01-QSARK/intervals/fastp_12/work/85/45d98b52f701af27d2aab4f90b597f	true	-
41	90/b72222	2041050	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT	chr3_93705575-198235559	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr3_93705575-198235559)	COMPLETED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-tabix-1.11--hdfd78af_0.img	1	518400000	-	1073741824	1	1682087128707	1682087153058	1682087153060	24353	0	qbic	83.5	0.0	3223552	5640192	3223552	5644288	104210	3511	235	47	780170	16384	18	2	/sfs/9/ws/iizha01-QSARK/intervals/fastp_12/work/90/b7222230da1dcf7df23b7689170482	true	-
50	18/c4c892	2041051	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT	chr6_95070791-167591393	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr6_95070791-167591393)	COMPLETED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-tabix-1.11--hdfd78af_0.img	1	518400000	-	1073741824	1	1682087128899	1682087153076	1682087153078	24179	0	qbic	60.7	0.0	3297280	5640192	3297280	5644288	104213	3487	235	47	780173	16384	18	0	/sfs/9/ws/iizha01-QSARK/intervals/fastp_12/work/18/c4c8925cdb646bc3f89adf622869df	true	-
47	02/17e4f0	2041052	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT	chr7_61967064-61976104	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr7_61967064-61976104)	COMPLETED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-tabix-1.11--hdfd78af_0.img	1	518400000	-	1073741824	1	1682087128934	1682087158058	1682087158060	29126	0	qbic	86.1	0.0	0	0	0	0	104213	3498	235	47	780172	16384	0	0	/sfs/9/ws/iizha01-QSARK/intervals/fastp_12/work/02/17e4f03913588ea39f78d01730ba7c	true	-
