task_id	hash	native_id	process	tag	name	status	exit	module	container	cpus	time	disk	memory	attempt	submit	start	complete	duration	realtime	queue	%cpu	%mem	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	read_bytes	write_bytes	vol_ctxt	inv_ctxt	workdir	scratch	error_action
2	53/98c494	334519	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED	wgs_calling_regions_noseconds.hg38.bed	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED (wgs_calling_regions_noseconds.hg38.bed)	CACHED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-gawk-5.1.0.img	1	14400000	-	1073741824	1	1669730537031	1669730540113	1669730545114	8083	0	preempt	41.0	0.0	0	0	0	0	74633	9345	158	140	925	516096	0	0	/sfs/9/ws/iizha01-QSARK/bam_vs_cram/cram/non_spark/work/53/98c494f7a7b4cb8c9faf5fdcd92670	true	-
19	c4/da31df	334523	NFCORE_SAREK:SAREK:FASTP	CHC892N-1	NFCORE_SAREK:SAREK:FASTP (CHC892N-1)	CACHED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-fastp-0.23.2--h79da9fb_0.img	12	28800000	-	4294967296	1	1669730537208	1669730540129	1669731861595	1324387	1157000	preempt	784.7	0.4	2116870144	2970001408	2116870144	2970005504	93654633559	72384000592	45430	135014	93655707956	72384065536	127	48	/sfs/9/ws/iizha01-QSARK/bam_vs_cram/cram/non_spark/work/c4/da31df92896e09f03962c0df9b7ce3	true	-
28	96/c401c1	334539	NFCORE_SAREK:SAREK:FASTP	CHC2111N-5	NFCORE_SAREK:SAREK:FASTP (CHC2111N-5)	CACHED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-fastp-0.23.2--h79da9fb_0.img	12	28800000	-	4294967296	1	1669730538944	1669730545210	1669732036606	1497662	1338000	preempt	889.2	0.4	2090795008	2835783680	2093875200	2902896640	98600375630	90027479103	47858	194438	98605297275	90027581440	117	62	/sfs/9/ws/iizha01-QSARK/bam_vs_cram/cram/non_spark/work/96/c401c126140a62d3f450d6bbafd26c	true	-
24	16/1c2816	337146	NFCORE_SAREK:SAREK:FASTP	CHC912N-3	NFCORE_SAREK:SAREK:FASTP (CHC912N-3)	CACHED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-fastp-0.23.2--h79da9fb_0.img	24	57600000	-	8589934592	2	1669732196884	1669732286734	1669733502196	1305312	1076000	preempt	1244.9	0.4	2127179776	3193831424	2127179776	3260944384	108380754975	98688738527	52569	195737	108381833631	98688815104	128	57	/sfs/9/ws/iizha01-QSARK/bam_vs_cram/cram/non_spark/work/16/1c28167dbd48dcd6b175ea16dc1ea6	true	-
92	d4/85f2cf	336889	NFCORE_SAREK:SAREK:FASTQ_ALIGN_BWAMEM_MEM2_DRAGMAP:BWAMEM1_MEM	CHC2111N-5	NFCORE_SAREK:SAREK:FASTQ_ALIGN_BWAMEM_MEM2_DRAGMAP:BWAMEM1_MEM (CHC2111N-5)	CACHED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-mulled-v2-fe8faa35dbf6dc65a0f7f5d4ea12e31a79f73e40-219b6c272b25e7e642ae3ff0bf0c5c81a5135ab4-0.img	24	57600000	-	64424509440	1	1669732049308	1669732051682	1669733337170	1287862	1275000	preempt	2280.3	5.1	27745398784	31301398528	29047775232	31358005248	57625464663	51883982111	11041044	10653568	6680145215	11339907072	180538	16407	/sfs/9/ws/iizha01-QSARK/bam_vs_cram/cram/non_spark/work/d4/85f2cf344d7973725ce3603b87daa8	true	-
80	08/27f936	336896	NFCORE_SAREK:SAREK:FASTQ_ALIGN_BWAMEM_MEM2_DRAGMAP:BWAMEM1_MEM	CHC2111N-5	NFCORE_SAREK:SAREK:FASTQ_ALIGN_BWAMEM_MEM2_DRAGMAP:BWAMEM1_MEM (CHC2111N-5)	CACHED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-mulled-v2-fe8faa35dbf6dc65a0f7f5d4ea12e31a79f73e40-219b6c272b25e7e642ae3ff0bf0c5c81a5135ab4-0.img	24	57600000	-	64424509440	1	1669732052215	1669732056690	1669733532182	1479967	1470000	preempt	2151.4	5.1	27809665024	31223783424	28472520704	31290896384	57625142640	51883697138	10836085	10653607	6847341934	11339624448	199299	24655	/sfs/9/ws/iizha01-QSARK/bam_vs_cram/cram/non_spark/work/08/27f9362afbf81f2522f7ef051a7942	true	-
98	a4/fdff32	336911	NFCORE_SAREK:SAREK:FASTQ_ALIGN_BWAMEM_MEM2_DRAGMAP:BWAMEM1_MEM	CHC2111N-5	NFCORE_SAREK:SAREK:FASTQ_ALIGN_BWAMEM_MEM2_DRAGMAP:BWAMEM1_MEM (CHC2111N-5)	CACHED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-mulled-v2-fe8faa35dbf6dc65a0f7f5d4ea12e31a79f73e40-219b6c272b25e7e642ae3ff0bf0c5c81a5135ab4-0.img	24	57600000	-	64424509440	1	1669732058689	1669732061686	1669733347176	1288487	1278000	preempt	2287.5	5.1	27793272832	31291133952	28630151168	31358005248	57624689363	51883266119	11078979	10653405	7663307899	11339776000	179019	14339	/sfs/9/ws/iizha01-QSARK/bam_vs_cram/cram/non_spark/work/a4/fdff321ba0fc5d3e146270db4d8d8e	true	-
87	e6/0dbf0b	336895	NFCORE_SAREK:SAREK:FASTQ_ALIGN_BWAMEM_MEM2_DRAGMAP:BWAMEM1_MEM	CHC2111N-5	NFCORE_SAREK:SAREK:FASTQ_ALIGN_BWAMEM_MEM2_DRAGMAP:BWAMEM1_MEM (CHC2111N-5)	CACHED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-mulled-v2-fe8faa35dbf6dc65a0f7f5d4ea12e31a79f73e40-219b6c272b25e7e642ae3ff0bf0c5c81a5135ab4-0.img	24	57600000	-	64424509440	1	1669732052193	1669732056689	1669733338380	1286187	1277000	preempt	2284.8	5.1	27778199552	31291133952	28983005184	31492222976	57625774307	51884649909	11061188	10653687	8121575641	11340369920	180308	14486	/sfs/9/ws/iizha01-QSARK/bam_vs_cram/cram/non_spark/work/e6/0dbf0ba51be74b98b8dccb789e2996	true	-
102	6f/9a0535	336918	NFCORE_SAREK:SAREK:FASTQ_ALIGN_BWAMEM_MEM2_DRAGMAP:BWAMEM1_MEM	CHC2111N-5	NFCORE_SAREK:SAREK:FASTQ_ALIGN_BWAMEM_MEM2_DRAGMAP:BWAMEM1_MEM (CHC2111N-5)	CACHED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-mulled-v2-fe8faa35dbf6dc65a0f7f5d4ea12e31a79f73e40-219b6c272b25e7e642ae3ff0bf0c5c81a5135ab4-0.img	24	57600000	-	64424509440	1	1669732061362	1669732066686	1669732646767	585405	579000	preempt	2340.4	3.2	17088086016	33052516352	17089368064	33052520448	12620710595	7448554119	1574274	1583391	2031588548	1287180288	28514	2362	/sfs/9/ws/iizha01-QSARK/bam_vs_cram/cram/non_spark/work/6f/9a053584df9bf152c38c4a8baea72f	true	-
111	f8/589b1b	336902	NFCORE_SAREK:SAREK:FASTQ_ALIGN_BWAMEM_MEM2_DRAGMAP:BWAMEM1_MEM	CHC2111N-5	NFCORE_SAREK:SAREK:FASTQ_ALIGN_BWAMEM_MEM2_DRAGMAP:BWAMEM1_MEM (CHC2111N-5)	CACHED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-mulled-v2-fe8faa35dbf6dc65a0f7f5d4ea12e31a79f73e40-219b6c272b25e7e642ae3ff0bf0c5c81a5135ab4-0.img	24	57600000	-	64424509440	1	1669732055594	1669732061682	1669732641734	586140	576000	preempt	2352.0	3.2	17082712064	33120108544	17087922176	33176715264	12621625960	7449740709	1558495	1583616	2440555296	1287516160	29085	911	/sfs/9/ws/iizha01-QSARK/bam_vs_cram/cram/non_spark/work/f8/589b1b166a578c11a096d19246499f	true	-
