task_id	hash	native_id	process	tag	name	status	exit	module	container	cpus	time	disk	memory	attempt	submit	start	complete	duration	realtime	queue	%cpu	%mem	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	read_bytes	write_bytes	vol_ctxt	inv_ctxt	workdir	scratch	error_action
20	3e/d65506	2771435	NFCORE_SAREK:SAREK:FASTP	CHC892N-1	NFCORE_SAREK:SAREK:FASTP (CHC892N-1)	COMPLETED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-fastp-0.23.2--h79da9fb_0.img	12	28800000	-	4294967296	1	1662739975968	1662739978692	1662741453790	1477822	1250000	compute	1128.8	3.0	2052214784	2969968640	2052214784	2969972736	93654622336	72384000581	45422	135014	93655665951	72384069632	71	5	/sfs/7/workspace/ws/iizha01-sarek_3_0_experiments-0/experiment_bam_vs_cram/CRAM_I/work/3e/d655066913f155fb2e0ccfe62ed378	true	-
21	30/7c94dc	2771434	NFCORE_SAREK:SAREK:FASTP	CHC912N-3	NFCORE_SAREK:SAREK:FASTP (CHC912N-3)	COMPLETED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-fastp-0.23.2--h79da9fb_0.img	12	28800000	-	4294967296	1	1662739975938	1662739978688	1662742108890	2132952	1782000	compute	1173.7	3.1	2063118336	2835750912	2063118336	2835755008	108380743928	98688730173	52563	195754	108381787530	98688856064	69	2	/sfs/7/workspace/ws/iizha01-sarek_3_0_experiments-0/experiment_bam_vs_cram/CRAM_I/work/30/7c94dc420f1100be42ce5076231f1f	true	-
36	89/da0014	2771507	NFCORE_SAREK:SAREK:GATK4_MAPPING:BWAMEM1_MEM	CHC892N-1	NFCORE_SAREK:SAREK:GATK4_MAPPING:BWAMEM1_MEM (CHC892N-1)	COMPLETED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-mulled-v2-fe8faa35dbf6dc65a0f7f5d4ea12e31a79f73e40-8110a70be2bfe7f75a2ea7f2a89cda4cc7732095-0.img	24	172800000	-	-	1	1662741454497	1662741458788	1662743164004	1709507	1696000	qbic	2178.2	0.0	1314816	11558912	1314816	11563008	49650561980	44444105914	9079575	8643367	6037340297	11770380288	10	1	/sfs/7/workspace/ws/iizha01-sarek_3_0_experiments-0/experiment_bam_vs_cram/CRAM_I/work/89/da0014386c6f59250c49ef7886cc24	true	-
28	48/2db8b4	2771508	NFCORE_SAREK:SAREK:GATK4_MAPPING:BWAMEM1_MEM	CHC892N-1	NFCORE_SAREK:SAREK:GATK4_MAPPING:BWAMEM1_MEM (CHC892N-1)	COMPLETED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-mulled-v2-fe8faa35dbf6dc65a0f7f5d4ea12e31a79f73e40-8110a70be2bfe7f75a2ea7f2a89cda4cc7732095-0.img	24	172800000	-	-	1	1662741454825	1662743164032	1662744864143	3409318	1692000	qbic	2173.5	0.0	1318912	11558912	1318912	11563008	49645946903	44438153993	9108694	8642151	6037610493	11769102336	10	1	/sfs/7/workspace/ws/iizha01-sarek_3_0_experiments-0/experiment_bam_vs_cram/CRAM_I/work/48/2db8b45524a4f0659cb43fec1475dd	true	-
18	78/5ab246	2771432	NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC	CHC892N-1	NFCORE_SAREK:SAREK:RUN_FASTQC:FASTQC (CHC892N-1)	COMPLETED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-fastqc-0.11.9--0.img	4	28800000	-	-	1	1662739975811	1662739978673	1662745524208	5548397	5539000	compute	181.1	0.2	926011392	4164386816	931680256	4227305472	93663603382	4252563	184461937	12535	93667324343	7663616	98	5	/sfs/7/workspace/ws/iizha01-sarek_3_0_experiments-0/experiment_bam_vs_cram/CRAM_I/work/78/5ab246d772be6e4284b262979c17c4	true	-
16	15/58668f	2771433	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED	wgs_calling_regions.hg38.bed	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED (wgs_calling_regions.hg38.bed)	COMPLETED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-gawk-5.1.0.img	1	14400000	-	-	1	1662739975909	1662745524274	1662745529208	5553299	0	compute	66.2	0.0	0	0	0	0	68424	14257	148	149	915	552960	0	0	/sfs/7/workspace/ws/iizha01-sarek_3_0_experiments-0/experiment_bam_vs_cram/CRAM_I/work/15/58668fbb152a9881e4c7b96a7c7d12	true	-
9	1b/d9d74a	2771437	NFCORE_SAREK:SAREK:PREPARE_GENOME:TABIX_KNOWN_SNPS	1000G_omni2.5.hg38.vcf	NFCORE_SAREK:SAREK:PREPARE_GENOME:TABIX_KNOWN_SNPS (1000G_omni2.5.hg38.vcf)	COMPLETED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-tabix-1.11--hdfd78af_0.img	1	28800000	-	-	1	1662739976036	1662745529270	1662745534208	5558172	2000	compute	98.3	0.0	10977280	20418560	10977280	20422656	53321355	1511181	1841	132	614887	1519616	14	18	/sfs/7/workspace/ws/iizha01-sarek_3_0_experiments-0/experiment_bam_vs_cram/CRAM_I/work/1b/d9d74a4d7e3204d22ad95d581ca90f	true	-
134	62/f37634	2771697	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT	chr2_97489619-238903659	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr2_97489619-238903659)	COMPLETED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-tabix-1.11--hdfd78af_0.img	1	28800000	-	-	1	1662745529477	1662745534255	1662745534260	4783	0	compute	89.2	0.0	1642496	5623808	1642496	5627904	92472	3487	213	47	780185	16384	11	0	/sfs/7/workspace/ws/iizha01-sarek_3_0_experiments-0/experiment_bam_vs_cram/CRAM_I/work/62/f37634a1e48dace12ce65b101214d8	true	-
132	62/225318	2771698	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT	chr16_46380683-90228345	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr16_46380683-90228345)	COMPLETED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-tabix-1.11--hdfd78af_0.img	1	28800000	-	-	1	1662745529551	1662745534276	1662745539234	9683	0	compute	89.5	0.0	1642496	5623808	1642496	5627904	92509	3411	216	47	780212	16384	12	1	/sfs/7/workspace/ws/iizha01-sarek_3_0_experiments-0/experiment_bam_vs_cram/CRAM_I/work/62/225318087d56bdb324deebef6c5230	true	-
133	72/d92fde	2771699	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT	chr1_122026460-124977944	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr1_122026460-124977944)	COMPLETED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-tabix-1.11--hdfd78af_0.img	1	28800000	-	-	1	1662745529570	1662745539244	1662745539253	9683	0	compute	93.0	0.0	1642496	5623808	1642496	5627904	92529	3397	225	47	780229	16384	12	1	/sfs/7/workspace/ws/iizha01-sarek_3_0_experiments-0/experiment_bam_vs_cram/CRAM_I/work/72/d92fde213b423e18a7b95cdf9d5b3b	true	-
