task_id	hash	native_id	process	tag	name	status	exit	module	container	cpus	time	disk	memory	attempt	submit	start	complete	duration	realtime	queue	%cpu	%mem	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	read_bytes	write_bytes	vol_ctxt	inv_ctxt	workdir	scratch	error_action
16	37/990568	1999130	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED	wgs_calling_regions_noseconds.hg38.bed	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED (wgs_calling_regions_noseconds.hg38.bed)	COMPLETED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-gawk-5.1.0.img	1	14400000	-	1073741824	1	1681061763642	1681061767729	1681061772715	9073	0	preempt	13.5	0.0	2932736	11575296	2932736	11579392	75170	9349	158	140	13213	516096	9	0	/sfs/9/ws/iizha01-QSARK/bam_vs_cram/cram/spark/work/37/99056800b35a0a78fd5ae1edc002ae	true	-
31	f7/dcdff0	1999139	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT	chr3_93705575-198235559	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr3_93705575-198235559)	COMPLETED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-tabix-1.11--hdfd78af_0.img	1	14400000	-	1073741824	1	1681061772956	1681061777716	1681061777719	4763	1000	preempt	54.0	0.0	3280896	5640192	3280896	5644288	104101	3509	235	47	780170	16384	18	3	/sfs/9/ws/iizha01-QSARK/bam_vs_cram/cram/spark/work/f7/dcdff0f06f6b0b716aea79c7ea17c6	true	-
38	6f/774519	1999140	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT	chr1_143184588-223558935	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr1_143184588-223558935)	COMPLETED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-tabix-1.11--hdfd78af_0.img	1	14400000	-	1073741824	1	1681061772977	1681061777739	1681061777741	4764	1000	preempt	51.2	0.0	3317760	5640192	3317760	5644288	104043	3441	235	47	780135	16384	18	1	/sfs/9/ws/iizha01-QSARK/bam_vs_cram/cram/spark/work/6f/774519b140793b012ad1ef2af43037	true	-
30	ff/3736c2	1999141	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT	chr4_58921382-190123121	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr4_58921382-190123121)	COMPLETED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-tabix-1.11--hdfd78af_0.img	1	14400000	-	1073741824	1	1681061773008	1681061777754	1681061777756	4748	1000	preempt	46.5	0.0	3293184	5640192	3293184	5644288	104075	3453	221	47	780155	16384	14	0	/sfs/9/ws/iizha01-QSARK/bam_vs_cram/cram/spark/work/ff/3736c2b997ef132d9b53a7b6b6c699	true	-
44	b5/22e277	1999142	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT	chr6_60001-58453888	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr6_60001-58453888)	COMPLETED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-tabix-1.11--hdfd78af_0.img	1	14400000	-	1073741824	1	1681061773029	1681061777769	1681061777771	4742	1000	preempt	56.9	0.0	3231744	5640192	3231744	5644288	104118	3383	235	47	780179	16384	18	2	/sfs/9/ws/iizha01-QSARK/bam_vs_cram/cram/spark/work/b5/22e277b9b20cac1ec0cd63b3f9ed27	true	-
33	30/553406	1999143	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT	chr1_29553836-121976459	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr1_29553836-121976459)	COMPLETED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-tabix-1.11--hdfd78af_0.img	1	14400000	-	1073741824	1	1681061773050	1681061777785	1681061777787	4737	1000	preempt	52.5	0.0	3383296	5640192	3383296	5644288	104181	3416	235	47	780230	16384	18	2	/sfs/9/ws/iizha01-QSARK/bam_vs_cram/cram/spark/work/30/553406d64795f8ff32e8b2ec25714a	true	-
41	64/2e9f9d	1999144	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT	chr13_18408107-86202979	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr13_18408107-86202979)	COMPLETED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-tabix-1.11--hdfd78af_0.img	1	14400000	-	1073741824	1	1681061773062	1681061777800	1681061777802	4740	1000	preempt	55.7	0.0	3280896	5640192	3280896	5644288	104037	3335	220	47	780130	16384	18	1	/sfs/9/ws/iizha01-QSARK/bam_vs_cram/cram/spark/work/64/2e9f9dd1b10ec5466bf2414322ac26	true	-
43	7b/422896	1999145	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT	chr15_23276875-84270066	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr15_23276875-84270066)	COMPLETED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-tabix-1.11--hdfd78af_0.img	1	14400000	-	1073741824	1	1681061773073	1681061777815	1681061777816	4743	1000	preempt	50.2	0.0	3248128	5640192	3248128	5644288	104134	3337	235	47	780130	16384	16	0	/sfs/9/ws/iizha01-QSARK/bam_vs_cram/cram/spark/work/7b/422896abd1ec71fb4f4ca180f9bfc9	true	-
36	95/f45d66	1999146	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT	chr5_50109808-139452659	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr5_50109808-139452659)	COMPLETED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-tabix-1.11--hdfd78af_0.img	1	14400000	-	1073741824	1	1681061773083	1681061777830	1681061777831	4748	1000	preempt	56.9	0.0	3244032	5640192	3244032	5644288	104134	3401	235	47	780130	16384	18	1	/sfs/9/ws/iizha01-QSARK/bam_vs_cram/cram/spark/work/95/f45d66975158510ebc2bbf9cd12d1c	true	-
42	a1/3340ec	1999147	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT	chr9_68220553-134183092	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr9_68220553-134183092)	COMPLETED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-tabix-1.11--hdfd78af_0.img	1	14400000	-	1073741824	1	1681061773093	1681061777845	1681061777846	4753	1000	preempt	56.1	0.0	0	0	0	0	104033	3388	235	47	780130	16384	0	0	/sfs/9/ws/iizha01-QSARK/bam_vs_cram/cram/spark/work/a1/3340eceeaeeb0470f1914e62d267b3	true	-
